sample	filename	total_reads	mapped_reads	mapping_pct	duplicate_reads	duplicate_pct	read_length	coverage_est	reference_genome	has_RG	BQSR_confirmed	dup_tool	dup_status	index_status	batch	notes
LB20231211_1	LB20231211_1_EKDL240006162-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam	30007573	29973515	99.89%	3754409	12.51%	150bp	~1.40x	hg38	YES	YES	MarkDuplica	Marked_only	YES	Batch1	
LB20231211_2	LB20231211_2_EKDL240006163-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam	31022696	30989756	99.89%	3900746	12.57%	150bp	~1.45x	hg38	YES	YES	MarkDuplica	Marked_only	YES	Batch1	
LB20231211_3	LB20231211_3_EKDL240006164-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam	33816206	33781809	99.90%	4282871	12.66%	150bp	~1.58x	hg38	YES	YES	MarkDuplica	Marked_only	YES	Batch1	
LB20231211_4	LB20231211_4_EKDL240006165-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam	28880580	28850293	99.90%	3091572	10.70%	150bp	~1.35x	hg38	YES	YES	MarkDuplica	Marked_only	YES	Batch1	
LB20231211_6	LB20231211_6_EKDL240006167-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam	27993014	27953810	99.86%	3294642	11.76%	150bp	~1.31x	hg38	YES	YES	MarkDuplica	Marked_only	YES	Batch1	
PRE_1	LB_20251209_PRE_1_EKDL250035517-1A_23_merge_dD_SI.bam	23341221	23329278	99.95%	2438991	10.44%	150bp	~1.09x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_2	LB_20251209_PRE_2_EKDL250035518-1A_237N3GLT4_L2_dD_SI.bam	21214720	21199197	99.93%	2192870	10.33%	150bp	~.99x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_3	LB_20251209_PRE_3_EKDL250035519-1A_237N3GLT4_L2_dD_SI.bam	19942860	19930417	99.94%	2149100	10.77%	150bp	~.93x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_4	LB_20251209_PRE_4_EKDL250035520-1A_237N3GLT4_L2_dD_SI.bam	21100707	21085329	99.93%	2211907	10.48%	150bp	~.98x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_5	LB_20251209_PRE_5_EKDL250035521-1A_237N3GLT4_L1_dD_SI.bam	22450266	22435337	99.93%	2277987	10.14%	150bp	~1.05x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_6	LB_20251209_PRE_6_EKDL250035522-1A_23_merge_dD_SI.bam	22114618	22099396	99.93%	1934183	8.74%	150bp	~1.03x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_7	LB_20251209_PRE_7_EKDL250035523-1A_23_merge_dD_SI.bam	23331237	23317597	99.94%	2481099	10.63%	150bp	~1.09x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_8	LB_20251209_PRE_8_EKDL250035524-1A_23_merge_dD_SI.bam	23634201	23620582	99.94%	2355309	9.96%	150bp	~1.10x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_1	LB_20251210_PRE_1_EKDL250035525-1A_23_merge_dD_SI.bam	20966257	20948864	99.92%	2149400	10.25%	150bp	~.98x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_2	LB_20251210_PRE_2_EKDL250035526-1A_237N3GLT4_L8_dD_SI.bam	20147398	20131222	99.92%	1798492	8.92%	150bp	~.94x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_3	LB_20251210_PRE_3_EKDL250035527-1A_237N3GLT4_L8_dD_SI.bam	20249477	20237879	99.94%	3089191	15.25%	150bp	~.94x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	OUTLIER: high duplicate rate
PRE_4	LB_20251210_PRE_4_EKDL250035528-1A_237N3GLT4_L8_dD_SI.bam	21180410	21162648	99.92%	2156995	10.18%	150bp	~.99x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_5	LB_20251210_PRE_5_EKDL250035529-1A_23_merge_dD_SI.bam	24152034	24133280	99.92%	2717653	11.25%	150bp	~1.13x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_6	LB_20251210_PRE_6_EKDL250035530-1A_237N3GLT4_L5_dD_SI.bam	20113255	20099066	99.93%	2342649	11.64%	150bp	~.94x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_7	LB_20251210_PRE_7_EKDL250035531-1A_237N3GLT4_L5_dD_SI.bam	25263442	25246710	99.93%	3211865	12.71%	150bp	~1.18x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
PRE_8	LB_20251210_PRE_8_EKDL250035532-1A_237N3GLT4_L5_dD_SI.bam	21452683	21435978	99.92%	2416768	11.26%	150bp	~1.00x	hg38	NO	NOT_CONFIRMED	MarkDuplica	Marked_only	YES	Batch2	
