Duplicate check — Mon May 11 16:35:42 BST 2026

File                                                       Total     Dups     Dup% REMOVE_DUPS
--------------------------------------------------------------------
LB20231211_1_EKDL240006162-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam 30007573  3754409   12.51% REMOVE_DUPLICATES=false
LB20231211_2_EKDL240006163-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam 31022696  3900746   12.57% REMOVE_DUPLICATES=false
LB20231211_3_EKDL240006164-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam 33816206  4282871   12.66% REMOVE_DUPLICATES=false
LB20231211_4_EKDL240006165-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam 28880580  3091572   10.70% REMOVE_DUPLICATES=false
LB20231211_6_EKDL240006167-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam 27993014  3294642   11.76% REMOVE_DUPLICATES=false
LB_20251209_PRE_1_EKDL250035517-1A_23_merge_dD_SI.bam   23341221  2438991   10.44% REMOVE_DUPLICATES=false
LB_20251209_PRE_2_EKDL250035518-1A_237N3GLT4_L2_dD_SI.bam 21214720  2192870   10.33% REMOVE_DUPLICATES=false
LB_20251209_PRE_3_EKDL250035519-1A_237N3GLT4_L2_dD_SI.bam 19942860  2149100   10.77% REMOVE_DUPLICATES=false
LB_20251209_PRE_4_EKDL250035520-1A_237N3GLT4_L2_dD_SI.bam 21100707  2211907   10.48% REMOVE_DUPLICATES=false
LB_20251209_PRE_5_EKDL250035521-1A_237N3GLT4_L1_dD_SI.bam 22450266  2277987   10.14% REMOVE_DUPLICATES=false
LB_20251209_PRE_6_EKDL250035522-1A_23_merge_dD_SI.bam   22114618  1934183    8.74% REMOVE_DUPLICATES=false
LB_20251209_PRE_7_EKDL250035523-1A_23_merge_dD_SI.bam   23331237  2481099   10.63% REMOVE_DUPLICATES=false
LB_20251209_PRE_8_EKDL250035524-1A_23_merge_dD_SI.bam   23634201  2355309    9.96% REMOVE_DUPLICATES=false
LB_20251210_PRE_1_EKDL250035525-1A_23_merge_dD_SI.bam   20966257  2149400   10.25% REMOVE_DUPLICATES=false
LB_20251210_PRE_2_EKDL250035526-1A_237N3GLT4_L8_dD_SI.bam 20147398  1798492    8.92% REMOVE_DUPLICATES=false
LB_20251210_PRE_3_EKDL250035527-1A_237N3GLT4_L8_dD_SI.bam 20249477  3089191   15.25% REMOVE_DUPLICATES=false
LB_20251210_PRE_4_EKDL250035528-1A_237N3GLT4_L8_dD_SI.bam 21180410  2156995   10.18% REMOVE_DUPLICATES=false
LB_20251210_PRE_5_EKDL250035529-1A_23_merge_dD_SI.bam   24152034  2717653   11.25% REMOVE_DUPLICATES=false
LB_20251210_PRE_6_EKDL250035530-1A_237N3GLT4_L5_dD_SI.bam 20113255  2342649   11.64% REMOVE_DUPLICATES=false
LB_20251210_PRE_7_EKDL250035531-1A_237N3GLT4_L5_dD_SI.bam 25263442  3211865   12.71% REMOVE_DUPLICATES=false
LB_20251210_PRE_8_EKDL250035532-1A_237N3GLT4_L5_dD_SI.bam 21452683  2416768   11.26% REMOVE_DUPLICATES=false
