type,cytoband,gene
Amplification,8q24.3,ADGRB1
Amplification,8q24.3,CYC1
Amplification,8q24.3,CYP11B1
Amplification,8q24.3,CYP11B2
Amplification,8q24.3,EEF1D
Amplification,8q24.3,GLI4
Amplification,8q24.3,GML
Amplification,8q24.3,GPR20
Amplification,8q24.3,GPT
Amplification,8q24.3,GRINA
Amplification,8q24.3,HSF1
Amplification,8q24.3,KCNQ3
Amplification,8q24.3,LY6E
Amplification,8q24.3,LY6H
Amplification,8q24.3,MYC
Amplification,8q24.3,TONSL
Amplification,8q24.3,PLEC
Amplification,8q24.3,POU5F1B
Amplification,8q24.3,PTK2
Amplification,8q24.3,PVT1
Amplification,8q24.3,RPL8
Amplification,8q24.3,ST3GAL1
Amplification,8q24.3,SLA
Amplification,8q24.3,SQLE
Amplification,8q24.3,TG
Amplification,8q24.3,TSTA3
Amplification,8q24.3,ZNF7
Amplification,8q24.3,ZNF16
Amplification,8q24.3,PSCA
Amplification,8q24.3,LY6D
Amplification,8q24.3,JRK
Amplification,8q24.3,DGAT1
Amplification,8q24.3,GPAA1
Amplification,8q24.3,WISP1
Amplification,8q24.3,FOXH1
Amplification,8q24.3,RECQL4
Amplification,8q24.3,LRRC14
Amplification,8q24.3,ZNF623
Amplification,8q24.3,KIAA0196
Amplification,8q24.3,HHLA1
Amplification,8q24.3,TRIB1
Amplification,8q24.3,NDRG1
Amplification,8q24.3,KHDRBS3
Amplification,8q24.3,PTP4A3
Amplification,8q24.3,PUF60
Amplification,8q24.3,DENND3
Amplification,8q24.3,ZC3H3
Amplification,8q24.3,EFR3A
Amplification,8q24.3,ARC
Amplification,8q24.3,BOP1
Amplification,8q24.3,SCRIB
Amplification,8q24.3,LRRC6
Amplification,8q24.3,FBXL6
Amplification,8q24.3,OPLAH
Amplification,8q24.3,AGO2
Amplification,8q24.3,COMMD5
Amplification,8q24.3,ASAP1-IT1
Amplification,8q24.3,CPSF1
Amplification,8q24.3,CYHR1
Amplification,8q24.3,ASAP1
Amplification,8q24.3,FAM135B
Amplification,8q24.3,PHF20L1
Amplification,8q24.3,VPS28
Amplification,8q24.3,HGH1
Amplification,8q24.3,KCNK9
Amplification,8q24.3,THEM6
Amplification,8q24.3,FAM49B
Amplification,8q24.3,CHRAC1
Amplification,8q24.3,EXOSC4
Amplification,8q24.3,LY6K
Amplification,8q24.3,SLC39A4
Amplification,8q24.3,GSDMC
Amplification,8q24.3,SLURP1
Amplification,8q24.3,SLC45A4
Amplification,8q24.3,ZFAT
Amplification,8q24.3,ZNF250
Amplification,8q24.3,PYCRL
Amplification,8q24.3,C8orf33
Amplification,8q24.3,LYNX1
Amplification,8q24.3,RHPN1-AS1
Amplification,8q24.3,SLC52A2
Amplification,8q24.3,GSDMD
Amplification,8q24.3,ZNF696
Amplification,8q24.3,ARHGAP39
Amplification,8q24.3,ZNF34
Amplification,8q24.3,SHARPIN
Amplification,8q24.3,EPPK1
Amplification,8q24.3,SCRT1
Amplification,8q24.3,TRAPPC9
Amplification,8q24.3,MAF1
Amplification,8q24.3,PARP10
Amplification,8q24.3,TIGD5
Amplification,8q24.3,PPP1R16A
Amplification,8q24.3,ZNF251
Amplification,8q24.3,KIFC2
Amplification,8q24.3,NAPRT
Amplification,8q24.3,HPYR1
Amplification,8q24.3,MFSD3
Amplification,8q24.3,RHPN1
Amplification,8q24.3,TOP1MT
Amplification,8q24.3,CCDC26
Amplification,8q24.3,LYPD2
Amplification,8q24.3,TMEM71
Amplification,8q24.3,FAM84B
Amplification,8q24.3,COL22A1
Amplification,8q24.3,ADCK5
Amplification,8q24.3,TSNARE1
Amplification,8q24.3,MAPK15
Amplification,8q24.3,NSMCE2
Amplification,8q24.3,ZNF707
Amplification,8q24.3,BREA2
Amplification,8q24.3,FAM83H
Amplification,8q24.3,ZNF252P
Amplification,8q24.3,TMED10P1
Amplification,8q24.3,ZNF252P-AS1
Amplification,8q24.3,C8orf31
Amplification,8q24.3,ZFP41
Amplification,8q24.3,GPIHBP1
Amplification,8q24.3,NRBP2
Amplification,8q24.3,ZNF517
Amplification,8q24.3,WDR97
Amplification,8q24.3,TMEM249
Amplification,8q24.3,SPATC1
Amplification,8q24.3,MROH5
Amplification,8q24.3,MAFA
Amplification,8q24.3,C8orf82
Amplification,8q24.3,LRRC24
Amplification,8q24.3,NCRNA00250
Amplification,8q24.3,ZFAT-AS1
Amplification,8q24.3,TMEM75
Amplification,8q24.3,MROH6
Amplification,8q24.3,SCX
Amplification,8q24.3,CASC8
Amplification,8q24.3,MROH1
Amplification,8q24.3,OC90
Amplification,8q24.3,FAM83H-AS1
Amplification,8q24.3,CDC42P3
Amplification,8q24.3,CCDC166
Amplification,8q24.3,CASC11
