type,cytoband,gene,Functional_Category,CNA_Type,CNA_Cytoband,Biological_Significance,Literature_Reference
Amplification,8q24.3,MYC,Oncogene / CNA,—,—,Master oncogene; 8q24 amp in aggressive PTCL,Heavican et al. Blood 2019;133(15):1664
Deletion,4q35.1,FAT1,Tumour suppressor,—,—,Novel high-frequency PTCL driver (7.6%); cadherin-domain tumour suppressor,—
Deletion,1q21.3,CD58,Immune evasion,—,—,Loss prevents NK and cytotoxic T-cell recognition,Yoshida et al. Cancers 2021;13(8):1801; Front Oncol 2023;13:1202964
Deletion,1q21.3,JAK1,JAK-STAT,—,—,Co-operates with STAT3; targetable by ruxolitinib,Heavican et al. Leukemia 2019;33(12):2867; Sim et al. J Clin Oncol 2019
Deletion,1q21.3,LCK,TCR signalling,—,—,CD4/CD8-associated kinase; critical for TCR initiation,—
Deletion,1q21.3,MCL1,Oncogene / CNA,AMP,1q21.2,1q21 amplification; anti-apoptotic; targetable; 1q gain is recurrent arm-level CNA,—
Deletion,1q21.3,NRAS,RAS-MAPK signalling,—,—,Q61 hotspot activates ERK/MAPK; targetable upstream of MEK,—
Deletion,1q21.3,ARID1A,Chromatin remodelling,—,—,Pan-cancer tumour suppressor; SWI/SNF subunit,—
Deletion,1q21.3,YTHDF2,Epigenetic regulator,—,—,Novel m6A reader; affects mRNA stability; below detection threshold,Heavican et al. Leukemia 2019;33(12):2867
Deletion,2q37.3,PDCD1,TCR / immune checkpoint,HOMDEL,2q37.3,TFH marker; novel recurrent driver in PTCL-NOS,Heavican et al. Leukemia 2019;33(12):2867
