# PTCL Gene List for ctDNA / Shallow WGS Analysis
# Thesis: Shallow WGS of ctDNA in T-Cell Lymphoma — Copy Number Variations and Fragmentomics
# Entrez Gene IDs: OncoKB Cancer Gene List (oncokb.org, v05/29/2026); supplemented from NCBI Gene
# MSK MTNN 2022: cBioPortal (cbioportal.org/study/summary?id=mtnn_msk_2022), n=132 PTCL patients
# Total genes: 64 | Generated: June 2025
#
Gene_Symbol	Entrez_Gene_ID	Gene_Name	Functional_Category	Data_Status	Data_Source	Mutation_Frequency_MSK_MTNN_2022	CNA_Type	CNA_Cytoband	PTCL_Subtype	Alteration_Type	Pathway_Function	Biological_Significance	Literature_Reference	Entrez_ID_Source
TET2	54790	TET methylcytosine dioxygenase 2	Epigenetic regulator	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	51.5% (68/132)	—	—	AITL (83%); PTCL-NOS; ATLL	Loss-of-function mutation	DNA hydroxymethylation	Founder mutation; disrupts 5mC to 5hmC; co-operates with RHOA G17V in AITL	Cairns et al. Blood 2012;120(5):1026; Odejide et al. Blood 2014;123(9):1293; Wang et al. Cell Rep Med 2024;5(2):101416	OncoKB Cancer Gene List v05/29/2026
DNMT3A	1788	DNA methyltransferase 3 alpha	Epigenetic regulator	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	18.9% (25/132)	—	—	AITL; PTCL-NOS	Loss-of-function mutation	DNA methylation	De novo DNA methylation; co-mutated with TET2; CHIP marker	Couronne et al. N Engl J Med 2012;366(1):95; Sakata-Yanagimoto et al. Nat Genet 2014;46(2):171; Wang et al. Cell Rep Med 2024;5(2):101416	OncoKB Cancer Gene List v05/29/2026
IDH2	3418	Isocitrate dehydrogenase 2	Epigenetic regulator	Confirmed - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	11.4% (15/132)	HOMDEL	15q26.1	AITL (~20-30%)	Gain-of-function missense (R172)	Metabolic / epigenetic	R172 produces 2-HG oncometabolite; inhibits TET2; AITL-specific hotspot; targetable with enasidenib	Lemonnier et al. Nat Genet 2016; Wang et al. Cell Rep Med 2024;5(2):101416; Odejide et al. Blood 2014;123(9):1293	OncoKB Cancer Gene List v05/29/2026
KMT2C	58508	Lysine methyltransferase 2C	Epigenetic regulator	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/131)	—	—	PTCL-NOS; AITL	Loss-of-function mutation	Histone H3K4 methylation	Tumour suppressor; mutually exclusive with KMT2D	Heavican et al. Blood 2019;133(15):1664; Heavican et al. Leukemia 2019;33(12):2867	OncoKB Cancer Gene List v05/29/2026
KMT2D	8085	Lysine methyltransferase 2D	Epigenetic regulator	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	4.6% (6/131)	—	—	PTCL-NOS	Loss-of-function mutation	Histone H3K4 methylation	Pan-lymphoma epigenetic driver; chr12q24 locus	Heavican et al. Blood 2019;133(15):1664; Heavican et al. Leukemia 2019;33(12):2867	OncoKB Cancer Gene List v05/29/2026
SETD1B	23067	SET domain containing 1B	Epigenetic regulator	Confirmed - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.0% (2/102)	—	—	PTCL-NOS	Loss-of-function mutation	Histone H3K4 methylation	Novel recurrent driver in PTCL-NOS; chr12q24	Heavican et al. Leukemia 2019;33(12):2867	OncoKB Cancer Gene List v05/29/2026
SETD2	29072	SET domain containing 2	Epigenetic regulator	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	6.1% (8/131)	—	—	PTCL-NOS; AITL	Loss-of-function mutation	Histone H3K36 trimethylation	Tumour suppressor; co-mutated with TET2; 3p21 locus co-localises with RHOA	—	OncoKB Cancer Gene List v05/29/2026
TET3	200424	TET methylcytosine dioxygenase 3	Epigenetic regulator	Identified from MSK MTNN 2022 - Mutated Gene	cBioPortal: Mutated Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.9% (4/102)	—	—	PTCL (TET2-wild-type)	Loss-of-function mutation	DNA hydroxymethylation	TET2 paralogue; compensatory mutation; confirm in Palomero et al. Nat Genet 2014	—	OncoKB Cancer Gene List v05/29/2026
CREBBP	1387	CREB binding protein	Epigenetic regulator	Identified from MSK MTNN 2022 - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	3.1% (4/131)	HOMDEL	16p13.3	PTCL-NOS	Loss-of-function mutation	Histone acetyltransferase	HAT co-activator; H3K27 acetylation; loss shared with DLBCL/FL	—	OncoKB Cancer Gene List v05/29/2026
EP300	2033	E1A binding protein p300	Epigenetic regulator	Identified from MSK MTNN 2022 - Mutated Gene + CNA Gene	cBioPortal: Mutated Genes + CNA Genes; MSK MTNN 2022; cbioportal.org/study/summary?id=mtnn_msk_2022	2.3% (3/131)	AMP	22q13.2	PTCL-NOS	Loss-of-function mutation	Histone acetyltransferase	p300/CBP family; co-mutated with CREBBP	—	OncoKB Cancer Gene List v05/29/2026
