cytoband	8q24.3	11q24.3	1q32.1	
q value	0.16183	0.16183	0.21221	
residual q value	0.16183	0.16183	0.21221	
wide peak boundaries	chr8:124990001-145138636	chr11:111990001-135086622	chr1:155990001-211010000	
genes in wide peak	ADCY8	ACRV1	hsa-mir-3119-1	
	ADGRB1	APLP2	ABL2	
	CYC1	APOA1	ADORA1	
	CYP11B1	APOA4	ALDH9A1	
	CYP11B2	APOC3	APCS	
	EEF1D	ARCN1	APOA2	
	GLI4	FXYD2	FASLG	
	GML	CXCR5	ASTN1	
	GPR20	CBL	SERPINC1	
	GPT	CD3D	ATP1A2	
	GRINA	CD3E	ATP1A4	
	HSF1	CD3G	ATP1B1	
	KCNQ3	CHEK1	ATP2B4	
	LY6E	DDX6	AVPR1B	
	LY6H	DLAT	BGLAP	
	MYC	DPAGT1	C4BPA	
	TONSL	DRD2	C4BPB	
	PLEC	ETS1	CACNA1E	
	POU5F1B	FLI1	CACNA1S	
	PTK2	SLC37A4	CASQ1	
	PVT1	GRIK4	CD1A	
	RPL8	H2AFX	CD1B	
	ST3GAL1	HMBS	CD1C	
	SLA	HSPA8	CD1D	
	SQLE	HTR3A	CD1E	
	TG	IL10RA	CD247	
	TSTA3	IL18	CD5L	
	ZNF7	STT3A	CD34	
	ZNF16	KCNJ1	CD48	
	PSCA	KCNJ5	CHI3L1	
	LY6D	VWA5A	CHIT1	
	JRK	MCAM	COPA	
	DGAT1	KMT2A	CR1	
	GPAA1	NCAM1	CR1L	
	WISP1	NFRKB	CR2	
	FOXH1	NNMT	CRABP2	
	RECQL4	NRGN	CRP	
	LRRC14	OPCML	CSRP1	
	ZNF623	PAFAH1B2	CTSE	
	KIAA0196	PTS	CD55	
	HHLA1	NECTIN1	DHX9	
	TRIB1	RPS25	DPT	
	NDRG1	SC5D	EIF2D	
	KHDRBS3	SCN2B	ELF3	
	PTP4A3	SCN4B	ELK4	
	PUF60	SDHD	ETV3	
	DENND3	ST3GAL4	F5	
	ZC3H3	SORL1	F13B	
	EFR3A	SRPRA	FCER1A	
	ARC	ST14	FCER1G	
	BOP1	TAGLN	FCGR2A	
	SCRIB	TECTA	FCGR2B	
	LRRC6	THY1	FCGR3A	
	FBXL6	UPK2	FCGR3B	
	OPLAH	ZBTB16	FMO1	
	AGO2	ZNF202	FMO2	
	COMMD5	BARX2	FMO3	
	ASAP1-IT1	ZPR1	FMO4	
	CPSF1	USP2	FMOD	
	CYHR1	PCSK7	NR5A2	
	ASAP1	HTR3B	ACKR1	
	FAM135B	ZW10	GLUL	
	PHF20L1	UBE4A	GPR25	
	VPS28	EI24	HDGF	
	HGH1	FEZ1	CFH	
	KCNK9	ARHGAP32	CFHR1	
	THEM6	C2CD2L	CFHR2	
	FAM49B	RBM7	MR1	
	CHRAC1	MPZL2	HSD11B1	
	EXOSC4	HYOU1	HSPA6	
	LY6K	ATP5L	HSPA7	
	SLC39A4	ADAMTS8	IFI16	
	GSDMC	TREH	IL10	
	SLURP1	CEP164	INSRR	
	SLC45A4	IGSF9B	IRF6	
	ZFAT	PHLDB1	KCNH1	
	ZNF250	NCAPD3	KCNJ9	
	PYCRL	ARHGEF12	KCNJ10	
	C8orf33	SIK3	KISS1	
	LYNX1	VSIG2	LAD1	
	RHPN1-AS1	BACE1	LAMB3	
	SLC52A2	TRIM29	LAMC1	
	GSDMD	CADM1	LAMC2	
	ZNF696	POU2F3	LMNA	
	ARHGAP39	HINFP	LMX1A	
	ZNF34	REXO2	LY9	
	SHARPIN	OR8G2	CD46	
	EPPK1	OR8B8	MDM4	
	SCRT1	OR8G1	MEF2D	
	TRAPPC9	TIMM8B	MGST3	
	MAF1	OR8B2	MNDA	
	PARP10	ACAD8	MPZ	
	TIGD5	B3GAT1	MYBPH	
	PPP1R16A	DCPS	MYOC	
	ZNF251	ZBTB44	MYOG	
	KIFC2	THYN1	PPP1R12B	
	NAPRT	DDX25	NCF2	
	HPYR1	NTM	NDUFS2	
	MFSD3	CDON	NHLH1	
	RHPN1	SIDT2	NIT1	
	TOP1MT	TRAPPC4	NTRK1	
	CCDC26	SPA17	DDR2	
	LYPD2	FXYD6	PBX1	
	TMEM71	SIAE	CDK18	
	FAM84B	C11orf71	PDC	
	COL22A1	ROBO4	PFDN2	
	ADCK5	NXPE4	PFKFB2	
	TSNARE1	TTC12	PIGC	
	MAPK15	C11orf57	PIGR	
	NSMCE2	FOXRED1	PIK3C2B	
	ZNF707	SCN3B	PKP1	
	BREA2	VPS11	PLA2G4A	
	FAM83H	TEX12	PLXNA2	
	LINC01591	CRTAM	PRRX1	
	ZNF252P	TMPRSS4	POU2F1	
	TMED10P1	IFT46	PPOX	
	ZNF252P-AS1	PRDM10	PRCC	
	C8orf31	DSCAML1	PRELP	
	ZFP41	GRAMD1B	PTGS2	
	GPIHBP1	USP28	QSOX1	
	NRBP2	PKNOX2	PTPN7	
	ZNF517	TP53AIP1	PTPRC	
	WDR97	ABCG4	PEX19	
	TMEM249	ROBO3	RABIF	
	SPATC1	RNF26	RBBP5	
	MROH5	FAM118B	REN	
	MAFA	NLRX1	RGS1	
	MIR30B	MSANTD2	RGS2	
	MIR30D	CLMP	RGS4	
	C8orf82	PDZD3	RGS13	
	LRRC24	C11orf63	RGS16	
	MIR151A	CCDC15	RNASEL	
	NCRNA00250	TMPRSS5	RNF2	
	ZFAT-AS1	PUS3	RNPEP	
	LINC00051	JAM3	RXRG	
	TMEM75	BCO2	XCL1	
	MROH6	TMPRSS13	SDHC	
	SCX	KIRREL3	SELE	
	MIR661	BUD13	SELL	
	CASC8	TMEM25	SELP	
	MROH1	RPUSD4	SLAMF1	
	LINC00977	TBRG1	SNRPE	
	OC90	UBASH3B	SOAT1	
	LINC01300	SNORD14C	UAP1	
	MIR937	SNORD14D	SPTA1	
	MIR939	SNORD14E	TROVE2	
	FAM83H-AS1	DIXDC1	SSR2	
	CDC42P3	GLB1L2	XCL2	
	LINC00861	ESAM	CNTN2	
	CCDC166	VPS26B	TNNI1	
	LOC100133669	GLB1L3	TNNT2	
	CASC11	TIRAP	TNR	
	TONSL-AS1	C1QTNF5	TOP1P1	
	LOC100288181	PANX3	TPR	
	MIR1302-7	APOA5	CCT3	
	MIR1205	TMEM45B	TNFSF4	
	MIR1206	PIH1D2	UCK2	
	MIR1207	NXPE1	USF1	
	MIR1204	NXPE2	NPHS2	
	MIR1234	JAML	BTG2	
	MIR1208	TTC36	TAGLN2	
	MIR3686	PATE1	DYRK3	
	CCAT1	ADAMTS15	RGS5	
	ASAP1-IT2	MPZL3	PPFIA4	
	MINCR	C11orf45	BLZF1	
	MIR4472-1	HYLS1	VAMP4	
	MIR4664	TMEM218	PEA15	
	PCAT1	SLC37A2	B4GALT3	
	MIR5194	OR8B12	B3GALT2	
	CCAT2	OR8G5	CREG1	
	PRNCR1	OR10G8	CD84	
	LOC101927657	OR10G9	RAB29	
	LINC00824	OR10S1	TNFSF18	
	LOC101927798	OR6T1	MPZL1	
	LOC101927822	OR4D5	SH2D2A	
	LOC101927845	TBCEL	ANGPTL1	
	LOC101927915	TMEM136	TBX19	
	LOC101928087	SPATA19	FCGR2C	
	LOC101928160	HEPACAM	DEDD	
	LOC101928902	OAF	XPR1	
	MIR6846	ANKK1	FCMR	
	MIR6847	RNF214	MAPKAPK2	
	MIR6848	LOC283140	GPR37L1	
	MIR7112	LINC00900	GPR52	
	MIR6850	BCL9L	AIM2	
	MIR6893	FOXR1	RASAL2	
	MIR6845	CCDC153	ADAMTS4	
	MIR6849	OR8D1	SOX13	
	MIR7848	OR8D2	PRDX6	
	CASC21	OR8B4	IKBKE	
	CASC19	KIRREL3-AS3	SLC25A44	
	PCAT2	C11orf44	KIAA0040	
	MAFA-AS1	MIR4697HG	NOS1AP	
	LOC105375744	LOC283177	ARHGEF11	
	LOC105375773	CCDC84	CEP350	
	LOC105375787	TMEM225	ZC3H11A	
	LOC105375800	OR8D4	SMG7	
		LOC341056	RABGAP1L	
		PLET1	TMCC2	
		LOC387810	FAM20B	
		BSX	KIF14	
		OR6X1	NR1I3	
		OR6M1	ARPC5	
		OR10G4	PRG4	
		OR10G7	GPA33	
		OR8B3	STX6	
		OR8A1	TIMM17A	
		MIR100HG	LRRN2	
		PATE2	C1orf61	
		PATE4	SLC19A2	
		ST3GAL4-AS1	IVNS1ABP	
		SNX19	NES	
		LOC403312	KDM5B	
		MIRLET7A2	CFHR4	
		MIR100	CFHR3	
		MIR125B1	OCLM	
		BLID	IL24	
		LINC00167	PMF1	
		HEPN1	DUSP12	
		CLDN25	PLEKHA6	
		LOC646522	KIFAP3	
		LOC649133	ATF6	
		RPL23AP64	KIF21B	
		LOC100128239	NMNAT2	
		LOC100131626	NFASC	
		LOC100132686	COLGALT2	
		PATE3	RGL1	
		NCAM1-AS1	PRRC2C	
		BACE1-AS	CAMSAP2	
		MIR4301	SRGAP2	
		MIR3167	SMG5	
		USP2-AS1	NCSTN	
		MIR3656	CRB1	
		LOC100507283	GPR161	
		SENCR	ZNF281	
		LOC100507431	PHLDA3	
		LOC100507548	DSTYK	
		TMPRSS4-AS1	CFAP45	
		FXYD6-FXYD2	LMOD1	
		MIR4697	MPC2	
		MIR4493	OLFML2B	
		MIR4492	DNM3	
		LOC100652768	TOR1AIP1	
		KIRREL3-AS2	OPTC	
		NTM-IT	OR10J1	
		LOC101928823	SNORD81	
		LOC101928847	SNORD79	
		LOC101928940	SNORD80	
		LOC101928985	SNORD47	
		LOC101929011	SNORD44	
		LOC101929089	USP21	
		LOC101929208	DIEXF	
		LOC101929227	CACYBP	
		LOC101929340	KLHL20	
		LOC101929427	LAMTOR2	
		LOC101929473	UBE2T	
		LOC101929497	NME7	
		LOC101929517	IL19	
		LOC101929538	G0S2	
		LINC01395	IL20	
		NTM-AS1	DCAF8	
		LOC101929653	F11R	
		MIR6756	GLRX2	
		MIR7641-2	RRNAD1	
		MIR6090	ADIPOR1	
		MIR6716	IER5	
		MIR8052	UCHL5	
		LOC102724301	SUCO	
		LOC103611081	HSD17B7	
		PKNOX2-AS1	UFC1	
		APOA1-AS	METTL13	
		LOC105369507	CYB5R1	
		LOC105369509	CD244	
		LOC105369532	TMCO1	
		STT3A-AS1	SWT1	
			GPATCH4	
			LAX1	
			DUSP23	
			C1orf27	
			RALGPS2	
			DARS2	
			KLHDC8A	
			ETNK2	
			KIRREL	
			YOD1	
			ITLN1	
			IPO9	
			C1orf112	
			HHAT	
			C1orf106	
			ADCY10	
			DCAF6	
			SERTAD4	
			SLAMF8	
			UBQLN4	
			LHX9	
			RAB25	
			RHBG	
			SCYL3	
			CAMK1G	
			VANGL2	
			IGSF9	
			POGK	
			KIAA1614	
			BRINP2	
			CCDC181	
			SLAMF7	
			CADM3	
			KLHL12	
			LGR6	
			HAPLN2	
			GAS5	
			PAPPA2	
			BCAN	
			TNN	
			MRPS14	
			SEMA4A	
