cytoband	4q35.1	1p35.3	1q43	
q value	3.9035e-08	0.0070355	0.045183	
residual q value	3.9035e-08	0.0070355	0.045183	
wide peak boundaries	chr4:176790001-190214555	chr1:22960001-36090000	chr1:233670001-248956422	
genes in wide peak	AGA	AK2	ACTN2	
	SLC25A4	ADGRB2	ADSS	
	CASP3	RUNX3	CHML	
	DCTD	CD52	LYST	
	F11	RCC1	CHRM3	
	ACSL1	CNR2	FH	
	FAT1	COL16A1	GNG4	
	FRG1	E2F2	HNRNPU	
	ING2	PHC2	LGALS8	
	IRF2	EPB41	MTR	
	KLKB1	EXTL1	NID1	
	MTNR1A	EYA3	RGS7	
	TLR3	FABP3	RYR2	
	SORBS2	FGR	TARBP1	
	FAM149A	FUCA1	TBCE	
	PDLIM3	IFI6	GPR137B	
	CLDN22	GALE	ZNF124	
	NEIL3	GJA4	KMO	
	UFSP2	GJB3	EXO1	
	CDKN2AIP	GJB5	GGPS1	
	TENM3	SFN	TOMM20	
	LRP2BP	GPR3	CEP170	
	STOX2	HCRTR1	AKT3	
	CFAP97	HDAC1	ZBTB18	
	TRAPPC11	HMGN2	SDCCAG8	
	CENPU	HMGCL	RBM34	
	WWC2	HPCA	OPN3	
	SNX25	HTR1D	TRIM58	
	LOC90768	ID3	AHCTF1	
	ZFP42	STMN1	OR1C1	
	ENPP6	LCK	OR2M4	
	WWC2-AS2	MATN1	OR2L2	
	RWDD4	OPRD1	OR2L1P	
	PRIMPOL	PAFAH2	OR2T1	
	TRIML2	PPP1R8	DESI2	
	CCDC110	PSMB2	SCCPDH	
	CYP4V2	PTAFR	ARID4B	
	F11-AS1	RBBP4	KIF26B	
	LINC01098	RHCE	HEATR1	
	LOC339975	RHD	ZNF692	
	TRIML1	SNORA73A	ERO1B	
	ANKRD37	RPA2	FMN2	
	LOC389247	RPL11	ZNF695	
	HELT	RPS6KA1	ZP4	
	LINC01060	SFPQ	TFB2M	
	FAM92A1P2	SRSF4	GREM2	
	C4orf47	SLC9A1	SMYD3	
	FRG2	TAF12	ZNF669	
	SLED1	TCEA3	ZNF672	
	FLJ38576	TCEB3	SH3BP5L	
	LINC00290	ZSCAN20	OR2L5	
	LOC728175	SLC30A2	OR2G3	
	MIR3945HG	LUZP1	OR2G2	
	CLDN24	LAPTM5	OR2C3	
	DUX4	PTP4A2	EFCAB2	
	MIR1305	ARID1A	ZNF496	
	DBET	SNHG3	ZNF670	
	MIR3945	NR0B2	NLRP3	
	LINC01093	FCN3	COX20	
	LOC100506272	YARS	OR2M5	
	MIR4455	EIF3I	OR2M3	
	LINC01099	MAP3K6	OR2T12	
	WWC2-AS1	ZMYM4	OR14C36	
	LINC01262	ZMYM6	OR2T34	
	LOC102723766	SNRNP40	OR2T10	
	LVCAT8	THEMIS2	OR2T4	
	LOC105377590	SDC3	OR2T11	
	LINC01596	PUM1	OR2B11	
		PTPRU	WDR64	
		WASF2	EDARADD	
		HNRNPR	SLC35F3	
		SRRM1	B3GALNT2	
		CNKSR1	GCSAML	
		KHDRBS1	GCSAML-AS1	
		GMEB1	LINC01341	
		NUDC	CNST	
		SRSF10	PLD5	
		RCAN3	C1orf100	
		LYPLA2	OR2T6	
		DNAJC8	LOC255654	
		KDM1A	C1orf101	
		WDTC1	PGBD2	
		NCDN	OR2L13	
		TMEM50A	OR14A16	
		KPNA6	VN1R5	
		STX12	LOC339529	
		CLIC4	LINC01139	
		SYF2	OR6F1	
		LDLRAP1	OR2W3	
		AGO1	OR2T8	
		SNORA73B	OR2T3	
		RNU11	OR2T29	
		AHDC1	IRF2BP2	
		TEKT2	COA6	
		SMPDL3B	C1orf229	
		ZNF593	OR2M1P	
		MECR	OR11L1	
		YTHDF2	OR2L8	
		ZCCHC17	OR2AK2	
		GPN2	OR2L3	
		MED18	OR2M2	
		TRNAU1AP	OR2T33	
		AIM1L	OR2M7	
		BSDC1	OR2G6	
		XKR8	OR2T2	
		TMEM39B	OR2T5	
		TMEM57	OR14I1	
		TRIM62	OR2T27	
		ASAP3	OR2T35	
		PNRC2	MAP1LC3C	
		PIGV	BECN2	
		IQCC	OR2W5	
		TMEM234	OR13G1	
		MTFR1L	MT1HL1	
		RSRP1	RPS7P5	
		PITHD1	LYPD8	
		MAN1C1	SNORA14B	
		NIPAL3	LINC01347	
		SEPN1	LINC01348	
		KIAA1522	LOC100130331	
		GRHL3	LGALS8-AS1	
		DLGAP3	MIR1537	
		IL22RA1	LINC00184	
		GPATCH3	MIR3123	
		CLSPN	MIR3124	
		TINAGL1	MIR3916	
		S100PBP	LINC01354	
		CEP85	LINC01132	
		MARCKSL1	CHRM3-AS2	
		PHACTR4	ZNF670-ZNF695	
		AUNIP	MIR4428	
		CCDC28B	MIR4753	
		NKAIN1	MIR4677	
		LIN28A	MIR4671	
		ZMYM1	MIR5096	
		FAM110D	CHRM3-AS1	
		KIAA0319L	LOC101927765	
		DHDDS	LOC101927787	
		ZNF436	LOC101927851	
		SYNC	LOC101928068	
		TSSK3	LOC101928226	
		SH3BGRL3	SNORA100	
		SESN2		
		TMEM222		
		ZDHHC18		
		TRIM63		
		FAM167B		
		SYTL1		
		C1orf94		
		SNHG12		
		STPG1		
		SPOCD1		
		UBXN11		
		ATPIF1		
		SMIM12		
		AZIN2		
		TMEM54		
		CSMD2		
		RAB42		
		FAM46B		
		KDF1		
		MYOM3		
		GJB4		
		HMGB4		
		RNF19B		
		A3GALT2		
		C1orf216		
		ZNF436-AS1		
		DCDC2B		
		ZNF362		
		LINC01225		
		PDIK1L		
		IFNLR1		
		PAQR7		
		AGO3		
		AGO4		
		FAM76A		
		TXLNA		
		FNDC5		
		ZNF683		
		MDS2		
		LINC01226		
		LOC284632		
		MTMR9LP		
		ZBTB8OS		
		TFAP2E		
		SERINC2		
		CATSPER4		
		TRNP1		
		CD164L2		
		TMEM200B		
		NCMAP		
		CSMD2-AS1		
		PEF1		
		ACTG1P20		
		LOC646471		
		ZBTB8A		
		LOC653160		
		SCARNA1		
		SNORA44		
		SNORA61		
		SNORA16A		
		SNORD103C		
		SNORD99		
		SNORD103A		
		MIR552		
		ZBTB8B		
		C1orf234		
		FAM229A		
		MATN1-AS1		
		MIR1976		
		MIR3115		
		MIR4254		
		MIR3917		
		MIR3605		
		TMEM35B		
		TCEB3-AS1		
		LOC100506985		
		MIR4420		
		MIR4419A		
		MIR4425		
		MIR378F		
		RCAN3AS		
		MIR5585		
		LINC01355		
		LOC101928163		
		LOC101928303		
		LOC101928324		
		LOC101928460		
		LOC101928728		
		LOC101929406		
		LOC101929464		
		MIR6731		
