"sample","rascal_ploidy","rascal_cellularity","rascal_MAD","n_solutions","ambiguous","segments_used","output_segments","ichorcna_tf","tf_difference","status","tf_agreement"
"B3_S01",1.7,0.83,0.1806,1,FALSE,131,131,0.03636,0.794,"SUCCESS","DISCORDANT (>10%)"
"B3_S02",3.45,0.52,0.1749,1,FALSE,118,118,0.01195,0.508,"SUCCESS","DISCORDANT (>10%)"
"B3_S03",3.65,0.28,0.1847,1,FALSE,138,138,0.01944,0.261,"SUCCESS","DISCORDANT (>10%)"
"B3_S04",3.35,0.75,0.1733,1,FALSE,120,120,0.04876,0.701,"SUCCESS","DISCORDANT (>10%)"
"B3_S05",3.45,0.73,0.1746,1,FALSE,129,129,0.06386,0.666,"SUCCESS","DISCORDANT (>10%)"
"B3_S06",1.5,0.94,0.0704,1,FALSE,156,156,0.6033,0.337,"SUCCESS","DISCORDANT (>10%)"
"B3_S07",1.5,0.8,0.1763,1,FALSE,143,143,0.008588,0.791,"SUCCESS","DISCORDANT (>10%)"
"B3_S08",1.5,0.94,0.0623,1,FALSE,230,230,0.6228,0.317,"SUCCESS","DISCORDANT (>10%)"
"B3_S09",2.05,0.74,0.0741,1,FALSE,179,179,0.3612,0.379,"SUCCESS","DISCORDANT (>10%)"
"B3_S10",1.5,0.85,0.1623,1,FALSE,142,142,0.01431,0.836,"SUCCESS","DISCORDANT (>10%)"
"B3_S11",2,0.13,0.1957,1,FALSE,132,132,0.009693,0.12,"SUCCESS","DISCORDANT (>10%)"
"B3_S12",1.5,0.81,0.1568,1,FALSE,153,153,0.0903,0.72,"SUCCESS","DISCORDANT (>10%)"
"B3_S13",1.65,0.83,0.1784,1,FALSE,122,122,0.01993,0.81,"SUCCESS","DISCORDANT (>10%)"
