"sample","n_fragments_original","n_fragments_dedup","median_original","median_dedup","peak_original","peak_dedup","sl_ratio_original","sl_ratio_dedup","long_frag_fraction_original","long_frag_fraction_dedup","delta_median","delta_sl_ratio","delta_long_frag_fraction"
"B3_S01",9871562,8565101,168,168,167,167,0.218655645391348,0.225370877583288,0.000810206125433847,0.000576058589384994,0,0.00671523219193959,-0.000234147536048854
"B3_S02",10735684,9575419,150,149,165,165,0.774067506424021,0.794760769865961,0.0062635971774132,0.00530222228395436,-1,0.0206932634419399,-0.000961374893458832
"B3_S03",9793242,8633341,161,160,167,167,0.478226681753057,0.493135954304384,0.00147683473971132,0.00119084836333929,-1,0.0149092725513273,-0.000285986376372032
"B3_S04",10916937,9572110,164,163,167,167,0.351959437124819,0.363365350364903,0.000134653154085253,0.000105201465507605,-1,0.0114059132400842,-2.94516885776481e-05
"B3_S05",9389546,8125681,162,161,167,167,0.423324866215365,0.441361541146508,0.00776118461957586,0.00583729536022888,-1,0.0180366749311426,-0.00192388925934697
"B3_S06",12576837,11454302,158,157,167,167,0.56527693088377,0.574588780496078,0.00693171104944749,0.00618649656696672,-1,0.00931184961230735,-0.000745214482480771
"B3_S07",14708453,12974137,169,169,168,168,0.187687917014007,0.192417876928201,0.000265697555004595,0.000228146195773946,0,0.00472995991419395,-3.75513592306487e-05
"B3_S08",14196007,12935098,155,155,166,166,0.687017689404924,0.697204323967225,0.000689067003136868,0.000623188166027037,0,0.0101866345623012,-6.58788371098305e-05
"B3_S09",13839984,12532723,159,159,166,166,0.516763382840434,0.524228159540228,1.42341205018734e-05,1.2926161377699e-05,0,0.00746477669979417,-1.30795912417441e-06
"B3_S10",12409589,11291672,165,165,167,167,0.286086387729111,0.290046904695701,0.000171560879252327,0.00015710693686462,0,0.00396051696659044,-1.44539423877063e-05
"B3_S11",14291879,12904577,162,162,167,167,0.44436318600988,0.451920025649668,0.00555630228887328,0.00497528900017412,0,0.00755683963978837,-0.000581013288699158
"B3_S12",12901086,11740364,159,159,166,166,0.532568000304716,0.541167501498819,0.00300284797729431,0.0026950612434163,0,0.00859950119410346,-0.000307786733878012
"B3_S13",13148122,11775548,167,166,167,167,0.263979127027898,0.269163804518861,0.00114723608436247,0.00103264833195024,-1,0.00518467749096269,-0.000114587752412225
