"metric","dataset","group","n","median","q1","q3"
"median_fragment_length","All_samples","Below_floor",13,165,162,167
"median_fragment_length","All_samples","Low_TF",10,163,160.25,164.75
"median_fragment_length","All_samples","High_TF",11,160,156,161
"median_fragment_length","Excluding_B2_S11","Below_floor",12,165,161.5,167
"median_fragment_length","Excluding_B2_S11","Low_TF",10,163,160.25,164.75
"median_fragment_length","Excluding_B2_S11","High_TF",11,160,156,161
"peak_fragment_length","All_samples","Below_floor",13,167,167,168
"peak_fragment_length","All_samples","Low_TF",10,167,166.25,167
"peak_fragment_length","All_samples","High_TF",11,166,166,167
"peak_fragment_length","Excluding_B2_S11","Below_floor",12,167,167,168
"peak_fragment_length","Excluding_B2_S11","Low_TF",10,167,166.25,167
"peak_fragment_length","Excluding_B2_S11","High_TF",11,166,166,167
"short_to_long_ratio","All_samples","Below_floor",13,0.290046904695701,0.244932991502259,0.451920025649668
"short_to_long_ratio","All_samples","Low_TF",10,0.374691152318574,0.281404810218419,0.452677824530747
"short_to_long_ratio","All_samples","High_TF",11,0.514094661065876,0.436952023848343,0.63350280384217
"short_to_long_ratio","Excluding_B2_S11","Below_floor",12,0.329230592945136,0.258671599727084,0.457656399036943
"short_to_long_ratio","Excluding_B2_S11","Low_TF",10,0.374691152318574,0.281404810218419,0.452677824530747
"short_to_long_ratio","Excluding_B2_S11","High_TF",11,0.514094661065876,0.436952023848343,0.63350280384217
"long_fragment_fraction","All_samples","Below_floor",13,0.00119084836333929,0.000612968796359993,0.00418464703800682
"long_fragment_fraction","All_samples","Low_TF",10,0.000394270989891664,2.63003663769012e-05,0.00430084938577976
"long_fragment_fraction","All_samples","High_TF",11,0.000462950978107984,6.4630806888495e-06,0.00161873707337865
"long_fragment_fraction","Excluding_B2_S11","Below_floor",12,0.00111174834764477,0.000516763146213481,0.00359733997885224
"long_fragment_fraction","Excluding_B2_S11","Low_TF",10,0.000394270989891664,2.63003663769012e-05,0.00430084938577976
"long_fragment_fraction","Excluding_B2_S11","High_TF",11,0.000462950978107984,6.4630806888495e-06,0.00161873707337865
