gene	n_patients_altered	freq_pct	n_gain	n_loss	patients	in_ptcl_list	in_cbioportal_cna	in_cbioportal_mut	evidence_tier
AXL	16	80	1	15	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S05, B2_S07, B2_S12, B2_S15, B2_S16, B3_S01, B3_S04, B3_S05, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
CD79A	16	80	1	15	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S05, B2_S07, B2_S12, B2_S15, B2_S16, B3_S01, B3_S04, B3_S05, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
DOT1L	16	80	2	14	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S04, B2_S05, B2_S07, B2_S08, B2_S12, B2_S15, B3_S01, B3_S04, B3_S08, B3_S09	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
GNA11	16	80	2	14	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S04, B2_S05, B2_S07, B2_S08, B2_S12, B2_S15, B3_S01, B3_S04, B3_S08, B3_S09	FALSE	TRUE	FALSE	Tier 2 (cBioPortal CNA)
STK11	16	80	2	14	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S04, B2_S05, B2_S07, B2_S08, B2_S12, B2_S15, B3_S01, B3_S04, B3_S08, B3_S09	FALSE	TRUE	FALSE	Tier 2 (cBioPortal CNA)
CIC	15	75	1	14	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S05, B2_S07, B2_S12, B2_S15, B3_S01, B3_S04, B3_S05, B3_S08, B3_S09	FALSE	TRUE	TRUE	Tier 2 (cBioPortal CNA)
ERCC2	15	75	1	14	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S05, B2_S07, B2_S12, B2_S15, B3_S01, B3_S04, B3_S05, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PPP2R1A	15	75	2	13	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S05, B2_S07, B2_S12, B2_S15, B3_S01, B3_S04, B3_S05, B3_S08, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
PTPRS	15	75	2	13	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S04, B2_S05, B2_S07, B2_S08, B2_S12, B2_S15, B3_S01, B3_S04, B3_S09	FALSE	FALSE	TRUE	Tier 3 (cBioPortal mutated)
VAV1	15	75	2	13	B1_S01, B1_S02, B1_S05, B2_S01, B2_S02, B2_S03, B2_S04, B2_S05, B2_S07, B2_S08, B2_S12, B2_S15, B3_S01, B3_S04, B3_S09	TRUE	TRUE	TRUE	Tier 1 (PTCL gene list)
