sample,1_p,1_q,2_p,2_q,3_p,3_q,4_p,4_q,5_p,5_q,6_p,6_q,7_p,7_q,8_p,8_q,9_p,9_q,10_p,10_q,11_p,11_q,12_p,12_q,16_p,16_q,17_p,17_q,18_p,18_q,19_p,19_q,20_p,20_q,13_q,14_q,15_q,21_q,22_q
B1_S01,1,1,0,0,1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,1,0,0,1
B1_S02,1,1,0,1,0,0,-1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,0,0,1,1
B1_S05,0,0,-1,-1,0,0,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,-1,0,0,0,0,1
B2_S01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,-1,-1,0,0,0,0,0,0,0
B2_S02,1,1,0,0,0,0,-1,-1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,0,0,1,1,1
B2_S03,0,1,0,0,1,1,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,1,0,0,1,1,0,0,-1,0,-1,-1,-1,-1,0,0,1,0,0,0,0
B2_S04,0,1,1,0,-1,0,1,0,0,1,1,1,0,0,0,1,1,1,-1,0,1,1,0,0,0,-1,-1,1,-1,0,0,0,1,0,-1,0,-1,1,0
B2_S05,0,1,0,0,1,-1,0,0,0,0,-1,-1,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,-1,1
B2_S06,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
B2_S07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,1,1,0,0,-1,0,0,0,0,1,1,1,1,0,0,0,0,0
B2_S08,0,-1,-1,-1,0,0,0,0,1,-1,0,0,1,1,-1,0,1,1,-1,-1,1,0,-1,-1,1,0,1,1,0,0,-1,0,1,1,0,0,-1,0,-1
B2_S12,0,1,1,0,0,1,-1,1,0,1,0,-1,-1,1,0,1,-1,1,0,1,1,-1,1,0,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,-1,1,1
B2_S15,0,0,0,0,0,-1,0,1,0,0,-1,-1,0,1,-1,-1,0,0,0,-1,0,1,0,0,0,0,-1,1,0,0,-1,-1,1,1,0,0,0,1,0
B2_S16,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,1,0,0,1,-1,0,1,0,0,1,-1,-1,1,1,1,0,0,0,0,0,0,0,1,0
B3_S01,0,0,1,1,0,0,0,0,0,0,0,-1,1,0,0,1,1,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,0,1,0,0,1
B3_S04,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,1,1,0,0,0,0,1
B3_S05,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,-1,0,0,0,1,0,0,1
B3_S06,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
B3_S08,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,-1,-1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,0
B3_S09,0,0,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,-1,0,0,0,0
B3_S12,-1,1,1,-1,0,1,1,-1,0,1,-1,-1,1,1,-1,1,1,1,0,0,-1,-1,1,1,-1,-1,-1,-1,0,0,0,1,1,1,-1,1,-1,0,0
