sample,FGA,FGA_gain,FGA_loss,total_bases_Mb,altered_bases_Mb,n_segments,n_gain_segments,n_loss_segments,n_hlamp_segments,n_neut_segments,original_filename,tumor_fraction,ploidy,mad,batch,tf_group,FGA_reliable,AS,AS_gain,AS_loss
B3_S08,0.2327,0.0731,0.1596,2694,627,56,12,19,0,24,LB_241114_3_SI.bam,0.6228,2.005,0.03511,Batch3,High (≥10%),TRUE,9,2,7
B3_S06,0.0833,0.0781,0.0052,2713,226,24,2,1,0,21,LB_241114_1_SI.bam,0.6033,2.002,0.03558,Batch3,High (≥10%),TRUE,3,3,0
B2_S05,0.3118,0.1592,0.1526,2707,844,43,9,12,0,22,LB_20251209_PRE_5_EKDL250035521-1A_237N3GLT4_L1_dD_SI.bam,0.5769,1.997,0.04274,Batch2,High (≥10%),TRUE,12,4,8
B2_S06,0.0992,0.0882,0.0109,2743,272,26,3,3,0,20,LB_20251209_PRE_6_EKDL250035522-1A_23_merge_dD_SI.bam,0.5066,2.001,0.03676,Batch2,High (≥10%),TRUE,4,4,0
B2_S04,0.5429,0.3784,0.1646,2643,1435,59,12,13,1,21,LB_20251209_PRE_4_EKDL250035520-1A_237N3GLT4_L2_dD_SI.bam,0.4552,2.299,0.0411,Batch2,High (≥10%),TRUE,21,14,7
B3_S09,0.2712,0.1317,0.1395,2695,731,32,1,7,1,20,LB_241114_4_SI.bam,0.3612,2.002,0.03876,Batch3,High (≥10%),TRUE,9,4,5
B2_S16,0.3543,0.2005,0.1538,2698,956,58,15,18,0,25,LB_20251210_PRE_8_EKDL250035532-1A_237N3GLT4_L5_dD_SI.bam,0.3281,2.065,0.0369,Batch2,High (≥10%),TRUE,14,10,4
B2_S08,0.5936,0.2252,0.3683,2704,1605,39,9,13,1,14,LB_20251209_PRE_8_EKDL250035524-1A_23_merge_dD_SI.bam,0.2838,1.767,0.03199,Batch2,High (≥10%),TRUE,23,11,12
B2_S15,0.8148,0.7634,0.0514,2722,2218,41,22,6,3,6,LB_20251210_PRE_7_EKDL250035531-1A_237N3GLT4_L5_dD_SI.bam,0.2478,2.598,0.0434,Batch2,High (≥10%),TRUE,16,7,9
B2_S07,0.2982,0.2279,0.0702,2720,811,44,5,7,1,21,LB_20251209_PRE_7_EKDL250035523-1A_23_merge_dD_SI.bam,0.2236,2.004,0.04984,Batch2,High (≥10%),TRUE,11,9,2
B2_S01,0.32,0.2806,0.0394,2716,869,34,9,5,1,17,LB_20251209_PRE_1_EKDL250035517-1A_23_merge_dD_SI.bam,0.1718,2.206,0.0415,Batch2,High (≥10%),TRUE,15,13,2
B3_S12,0.6823,0.6135,0.0688,2732,1864,42,12,3,4,10,LB_241114_7_SI.bam,0.0903,2.831,0.03469,Batch3,Low-detectable (3–10%),TRUE,30,16,14
B2_S03,0.4037,0.2285,0.1753,2727,1101,42,9,12,2,17,LB_20251209_PRE_3_EKDL250035519-1A_237N3GLT4_L2_dD_SI.bam,0.08393,2.053,0.03603,Batch2,Low-detectable (3–10%),TRUE,15,7,8
B2_S12,0.6428,0.3564,0.2864,2699,1735,45,10,13,3,14,LB_20251210_PRE_4_EKDL250035528-1A_237N3GLT4_L8_dD_SI.bam,0.07153,2.172,0.04502,Batch2,Low-detectable (3–10%),TRUE,25,13,12
B3_S05,0.3959,0.3682,0.0277,2743,1086,28,8,4,0,14,LB_20241212_6_SI.bam,0.06386,2.209,0.04029,Batch3,Low-detectable (3–10%),TRUE,15,14,1
B1_S01,0.3886,0.2585,0.1301,2743,1066,25,5,5,1,13,LB20231211_1_EKDL240006162-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.06348,2.032,0.03457,Batch1,Low-detectable (3–10%),TRUE,15,8,7
B1_S02,0.3088,0.2315,0.0773,2743,847,28,5,4,2,17,LB20231211_2_EKDL240006163-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.05354,2.236,0.04151,Batch1,Low-detectable (3–10%),TRUE,12,7,5
B3_S04,0.2362,0.1404,0.0959,2743,648,32,4,6,2,18,LB_20241212_4_SI.bam,0.04876,2.035,0.05087,Batch3,Low-detectable (3–10%),TRUE,10,5,5
B2_S02,0.3729,0.2789,0.0941,2743,1023,23,5,3,2,13,LB_20251209_PRE_2_EKDL250035518-1A_237N3GLT4_L2_dD_SI.bam,0.04475,2.162,0.03369,Batch2,Low-detectable (3–10%),TRUE,15,11,4
B1_S05,0.3489,0.1068,0.2421,2743,957,27,2,7,2,16,LB20231211_6_EKDL240006167-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.03841,1.952,0.04181,Batch1,Low-detectable (3–10%),TRUE,12,3,9
B3_S01,0.3427,0.2169,0.1258,2743,940,32,2,6,3,17,LB_20241212_1_SI.bam,0.03636,2.357,0.04753,Batch3,Low-detectable (3–10%),TRUE,13,7,6
