sample,FGA,FGA_gain,FGA_loss,total_bases_Mb,altered_bases_Mb,n_segments,n_gain_segments,n_loss_segments,n_hlamp_segments,n_neut_segments,original_filename,tumor_fraction,ploidy,mad,batch,tf_group,FGA_reliable
B1_S01,0.3886,0.2585,0.1301,2743,1066,25,5,5,1,13,LB20231211_1_EKDL240006162-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.06348,2.032,0.03457,Batch1,Low-detectable (3–10%),TRUE
B1_S02,0.3088,0.2315,0.0773,2743,847,28,5,4,2,17,LB20231211_2_EKDL240006163-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.05354,2.236,0.04151,Batch1,Low-detectable (3–10%),TRUE
B1_S03,0.7904,0.5323,0.2581,2743,2168,27,15,7,0,4,LB20231211_3_EKDL240006164-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.01883,2.053,0.03754,Batch1,Below floor (<3%),FALSE
B1_S04,0.5474,0.4147,0.1327,2742,1501,34,9,5,3,13,LB20231211_4_EKDL240006165-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.02921,2.333,0.03578,Batch1,Below floor (<3%),FALSE
B1_S05,0.3489,0.1068,0.2421,2743,957,27,2,7,2,16,LB20231211_6_EKDL240006167-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.03841,1.952,0.04181,Batch1,Low-detectable (3–10%),TRUE
B2_S01,0.32,0.2806,0.0394,2716,869,34,9,5,1,17,LB_20251209_PRE_1_EKDL250035517-1A_23_merge_dD_SI.bam,0.1718,2.206,0.0415,Batch2,High (≥10%),TRUE
B2_S02,0.3729,0.2789,0.0941,2743,1023,23,5,3,2,13,LB_20251209_PRE_2_EKDL250035518-1A_237N3GLT4_L2_dD_SI.bam,0.04475,2.162,0.03369,Batch2,Low-detectable (3–10%),TRUE
B2_S03,0.4037,0.2285,0.1753,2727,1101,42,9,12,2,17,LB_20251209_PRE_3_EKDL250035519-1A_237N3GLT4_L2_dD_SI.bam,0.08393,2.053,0.03603,Batch2,Low-detectable (3–10%),TRUE
B2_S04,0.5429,0.3784,0.1646,2643,1435,59,12,13,1,21,LB_20251209_PRE_4_EKDL250035520-1A_237N3GLT4_L2_dD_SI.bam,0.4552,2.299,0.0411,Batch2,High (≥10%),TRUE
B2_S05,0.3118,0.1592,0.1526,2707,844,43,9,12,0,22,LB_20251209_PRE_5_EKDL250035521-1A_237N3GLT4_L1_dD_SI.bam,0.5769,1.997,0.04274,Batch2,High (≥10%),TRUE
B2_S06,0.0992,0.0882,0.0109,2743,272,26,3,3,0,20,LB_20251209_PRE_6_EKDL250035522-1A_23_merge_dD_SI.bam,0.5066,2.001,0.03676,Batch2,High (≥10%),TRUE
B2_S07,0.2982,0.2279,0.0702,2720,811,44,5,7,1,21,LB_20251209_PRE_7_EKDL250035523-1A_23_merge_dD_SI.bam,0.2236,2.004,0.04984,Batch2,High (≥10%),TRUE
B2_S08,0.5936,0.2252,0.3683,2704,1605,39,9,13,1,14,LB_20251209_PRE_8_EKDL250035524-1A_23_merge_dD_SI.bam,0.2838,1.767,0.03199,Batch2,High (≥10%),TRUE
B2_S09,0.3314,0.1582,0.1732,2743,909,24,2,5,1,14,LB_20251210_PRE_1_EKDL250035525-1A_23_merge_dD_SI.bam,0.01715,2.024,0.04064,Batch2,Below floor (<3%),FALSE
B2_S10,0.5093,0.3631,0.1462,2743,1397,23,7,4,0,10,LB_20251210_PRE_2_EKDL250035526-1A_237N3GLT4_L8_dD_SI.bam,0.01554,2.147,0.03979,Batch2,Below floor (<3%),FALSE
B2_S11,0.5166,0.1985,0.3181,2741,1416,25,4,9,2,9,LB_20251210_PRE_3_EKDL250035527-1A_237N3GLT4_L8_dD_SI.bam,0.01569,1.955,0.04176,Batch2,Below floor (<3%),FALSE
