sample,tumor_fraction,correction_applied,FGA,FGA_gain,FGA_loss,AS_50,arms_gained_50,arms_lost_50,AS_25,arms_gained_25,arms_lost_25,GISTIC_del,GISTIC_total,GISTIC_amp
B3_S08,0.6228,none,0.232739413895103,0.0731254606885768,0.159613953206526,9,2,7,13,2,11,0,0,0
B3_S06,0.6033,none,0.0833026166602517,0.0781422778751989,0.00516033878505276,3,3,0,3,3,0,0,0,0
B2_S05,0.5769,none,0.311784260216743,0.159216844420511,0.152567415796232,12,4,8,15,7,8,1,1,0
B2_S06,0.5066,none,0.0991615007576373,0.0882245713794527,0.0109369293781845,4,4,0,4,4,0,2,2,0
B2_S04,0.4552,none,0.54294362241153,0.378357925585743,0.164585696825787,20,13,7,22,14,8,0,0,0
B3_S09,0.3612,manual_curation,0.267161409109152,0.131725417148502,0.13543599196065,8,4,4,9,4,5,0,0,0
B2_S16,0.3281,none,0.354336540975359,0.200518901641993,0.153817639333367,14,10,4,18,11,7,2,2,0
B2_S08,0.2838,manual_curation,0.593565088072869,0.201923076137204,0.391642011935665,23,10,13,25,10,15,2,2,0
B2_S15,0.2478,manual_curation,0.814842027335975,0.493387214999587,0.321454812336388,33,21,12,34,22,12,2,2,0
B2_S07,0.2236,none,0.298161761073205,0.227941174275519,0.070220586797686,12,10,2,15,13,2,1,1,0
B2_S01,0.1718,none,0.319955815124631,0.280559645632926,0.0393961694917046,15,13,2,15,13,2,0,0,0
B2_S03,0.08393,none,0.403740371088044,0.228456177702662,0.175284193385382,15,7,8,20,9,11,2,2,0
B2_S12,0.07153,none,0.642830677260978,0.356428306053825,0.286402371207153,25,13,12,26,14,12,2,2,0
B3_S05,0.06386,none,0.395916878266742,0.368209989176041,0.027706889090701,15,14,1,15,14,1,2,2,0
B1_S01,0.06348,none,0.388625591584265,0.258476120839192,0.130149470745074,15,8,7,15,8,7,1,1,0
B1_S02,0.05354,none,0.308785999870947,0.231498359271584,0.0772876405993635,12,7,5,13,8,5,1,1,0
B3_S04,0.04876,none,0.236237693605398,0.140357271779596,0.0958804218258015,10,5,5,12,7,5,2,2,0
B2_S02,0.04475,none,0.37294932503749,0.278891724175906,0.094057600861584,15,11,4,15,11,4,2,2,0
B1_S05,0.03841,none,0.348888078169879,0.106817352856022,0.242070725313857,12,3,9,15,5,10,2,2,0
B3_S01,0.03636,none,0.342690483399962,0.216915784885638,0.125774698514324,13,7,6,17,10,7,1,1,0
