"sample","tumor_fraction","correction_applied","total_bases","altered_bases","gain_bases","loss_bases","FGA","FGA_gain","FGA_loss","n_segments","AS_50","arms_gained_50","arms_lost_50","AS_25","arms_gained_25","arms_lost_25"
"B3_S08",0.6228,"none",2693999944,626999968,196999987,429999981,0.232739413895103,0.0731254606885768,0.159613953206526,56,9,2,7,13,4,9
"B3_S06",0.6033,"none",2712999976,225999997,211999998,13999999,0.0833026166602517,0.0781422778751989,0.00516033878505276,24,3,3,0,3,3,0
"B2_S05",0.5769,"none",2706999957,843999979,430999991,412999988,0.311784260216743,0.159216844420511,0.152567415796232,43,12,4,8,15,8,7
"B2_S06",0.5066,"none",2742999974,271999994,241999997,29999997,0.0991615007576373,0.0882245713794527,0.0109369293781845,26,4,4,0,4,4,0
"B2_S04",0.4552,"none",2642999941,1434999962,999999975,434999987,0.54294362241153,0.378357925585743,0.164585696825787,59,20,13,7,22,14,8
"B3_S09",0.3612,"manual_curation",2694999968,719999989,354999995,364999994,0.267161409109152,0.131725417148502,0.13543599196065,32,8,4,4,9,5,4
"B2_S16",0.3281,"none",2697999942,955999967,540999985,414999982,0.354336540975359,0.200518901641993,0.153817639333367,58,14,10,4,18,11,7
"B2_S08",0.2838,"manual_curation",2703999961,1604999975,545999990,1058999985,0.593565088072869,0.201923076137204,0.391642011935665,39,23,10,13,25,11,14
"B2_S15",0.2478,"manual_curation",2721999959,2217999965,1342999979,874999986,0.814842027335975,0.493387214999587,0.321454812336388,41,33,21,12,34,22,12
"B2_S07",0.2236,"none",2719999956,810999977,619999984,190999993,0.298161761073205,0.227941174275519,0.070220586797686,44,12,10,2,15,13,2
"B2_S01",0.1718,"none",2715999966,868999983,761999988,106999995,0.319955815124631,0.280559645632926,0.0393961694917046,34,15,13,2,15,13,2
"B2_S03",0.08393,"none",2726999958,1100999975,622999987,477999988,0.403740371088044,0.228456177702662,0.175284193385382,42,15,7,8,20,9,11
"B2_S12",0.07153,"none",2698999955,1734999969,961999982,772999987,0.642830677260978,0.356428306053825,0.286402371207153,45,25,13,12,26,14,12
"B3_S05",0.06386,"none",2742999972,1085999986,1009999990,75999996,0.395916878266742,0.368209989176041,0.027706889090701,28,15,14,1,15,14,1
"B1_S01",0.06348,"none",2742999975,1065999988,708999993,356999995,0.388625591584265,0.258476120839192,0.130149470745074,25,15,8,7,15,9,6
"B1_S02",0.05354,"none",2742999972,846999989,634999993,211999996,0.308785999870947,0.231498359271584,0.0772876405993635,28,12,7,5,13,8,5
"B3_S04",0.04876,"none",2742999968,647999986,384999992,262999994,0.236237693605398,0.140357271779596,0.0958804218258015,32,10,5,5,12,7,5
"B2_S02",0.04475,"none",2742999977,1022999990,764999993,257999997,0.37294932503749,0.278891724175906,0.094057600861584,23,15,11,4,15,11,4
"B1_S05",0.03841,"none",2742999973,956999989,292999996,663999993,0.348888078169879,0.106817352856022,0.242070725313857,27,12,3,9,15,5,10
"B3_S01",0.03636,"none",2742999968,939999985,594999991,344999994,0.342690483399962,0.216915784885638,0.125774698514324,32,13,7,6,17,11,6
