"sample","arm","chr","frac_gain","frac_loss","status_50","scored_50","status_25","scored_25"
"B1_S01","1p",1,1,0,"GAIN",1,"GAIN",1
"B1_S01","1q",1,0.8888,0.1035,"GAIN",1,"GAIN",1
"B1_S01","2p",2,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","2q",2,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","3p",3,1,0,"GAIN",1,"GAIN",1
"B1_S01","3q",3,0.9973,0,"GAIN",1,"GAIN",1
"B1_S01","4p",4,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","4q",4,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","5p",5,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","5q",5,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","6p",6,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","6q",6,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","7p",7,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","7q",7,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","8p",8,0,1,"LOSS",1,"LOSS",1
"B1_S01","8q",8,0.04,0.9586,"LOSS",1,"LOSS",1
"B1_S01","9p",9,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","9q",9,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","10p",10,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","10q",10,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","11p",11,1,0,"GAIN",1,"GAIN",1
"B1_S01","11q",11,0.9989,0,"GAIN",1,"GAIN",1
"B1_S01","12p",12,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","12q",12,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","13q",13,0.2688,0.7312,"LOSS",1,"GAIN",1
"B1_S01","14q",14,1,0,"GAIN",1,"GAIN",1
"B1_S01","15q",15,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","16p",16,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","16q",16,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","17p",17,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","17q",17,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","18p",18,0,1,"LOSS",1,"LOSS",1
"B1_S01","18q",18,0,0.994,"LOSS",1,"LOSS",1
"B1_S01","19p",19,0,1,"LOSS",1,"LOSS",1
"B1_S01","19q",19,0,0.981,"LOSS",1,"LOSS",1
"B1_S01","20p",20,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","20q",20,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","21q",21,0,0,"NEUTRAL",0,"NEUTRAL",0
"B1_S01","22q",22,0.9429,0,"GAIN",1,"GAIN",1
