Sample	Tumor Fraction	Ploidy
B2_S05	0.5769	1.997


B2_S05
Gender:	unknown
Tumor Fraction:	0.5769
Ploidy:	1.997
Subclone Fraction:	0.148
Fraction Genome Subclonal:	0.1504
Fraction CNA Subclonal:	0.4698
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.34, 8e-04, 0.25, 0.46, 0.62, -0.043, 0.043
Student's t precision: 1000, 1700, 1600, 420, 420, 1200, 930
Gamma Rate Init:	0.0047
GC-Map correction MAD:	0.04274


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	0.42	1.997	NA	0.15	0.47	4355
n0.5-p3	0.23	3	NA	0.058	0.058	3542
n0.6-p2	0.42	1.997	NA	0.15	0.47	4355
n0.6-p3	0.66	2.99	NA	0.1	0.1	3839
n0.7-p2	0.72	2.005	NA	0.06	0.3	3934
n0.7-p3	0.66	2.99	NA	0.1	0.1	3839
n0.8-p2	0.72	2.004	NA	0.06	0.3	3933
n0.8-p3	0.66	2.99	NA	0.11	0.11	3836
n0.9-p2	0.81	2.007	NA	0.06	0.28	3957
n0.9-p3	0.66	2.989	NA	0.11	0.11	3840
n0.95-p2	0.81	2.003	NA	0.06	0.28	3953
n0.99-p2	0.81	2.004	NA	0.06	0.28	3955
n0.99-p3	0.81	2.004	NA	0.06	0.28	3956
