Sample	Tumor Fraction	Ploidy
B3_S12	0.0903	2.831


B3_S12
Gender:	unknown
Tumor Fraction:	0.0903
Ploidy:	2.831
Subclone Fraction:	0.4362
Fraction Genome Subclonal:	0.1697
Fraction CNA Subclonal:	0.2444
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.083, -0.037, 0.0073, 0.05, 0.09, -0.057, -0.017
Student's t precision: 1800, 2200, 2700, 2300, 140, 2400, 2500
Gamma Rate Init:	0.0015
GC-Map correction MAD:	0.03469


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	0.64	2.168	NA	0.47	0.92	4520
n0.5-p3	0.71	2.694	NA	0.48	0.51	4202
n0.6-p2	0.84	2.03	NA	0.71	0.82	4604
n0.6-p3	0.71	2.694	NA	0.48	0.51	4202
n0.7-p2	0.84	2.023	NA	0.7	0.8	4590
n0.7-p3	0.89	3.15	NA	0.4	0.41	4419
n0.8-p2	0.85	2.092	NA	0.56	0.68	4697
n0.8-p3	0.88	3.19	NA	0.36	0.37	4419
n0.9-p2	0.86	2.056	NA	0.62	0.71	4657
n0.9-p3	0.91	2.831	NA	0.17	0.24	4690
n0.95-p2	0.92	2.046	NA	0.15	0.18	4539
n0.99-p2	0.93	2.096	NA	0.063	0.072	4495
n0.99-p3	0.93	2.174	NA	0.063	0.077	4560
