sample,original_filename,tumor_fraction,ploidy,MAD
B1_S01,LB20231211_1_EKDL240006162-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.06348,2.032,0.03457
B1_S02,LB20231211_2_EKDL240006163-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.05354,2.236,0.04151
B1_S03,LB20231211_3_EKDL240006164-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.01883,2.053,0.03754
B1_S04,LB20231211_4_EKDL240006165-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.02921,2.333,0.03578
B1_S05,LB20231211_6_EKDL240006167-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam,0.03841,1.952,0.04181
B2_S01,LB_20251209_PRE_1_EKDL250035517-1A_23_merge_dD_SI.bam,0.1718,2.206,0.0415
B2_S02,LB_20251209_PRE_2_EKDL250035518-1A_237N3GLT4_L2_dD_SI.bam,0.04475,2.162,0.03369
B2_S03,LB_20251209_PRE_3_EKDL250035519-1A_237N3GLT4_L2_dD_SI.bam,0.08393,2.053,0.03603
B2_S04,LB_20251209_PRE_4_EKDL250035520-1A_237N3GLT4_L2_dD_SI.bam,0.4552,2.299,0.0411
B2_S05,LB_20251209_PRE_5_EKDL250035521-1A_237N3GLT4_L1_dD_SI.bam,0.5769,1.997,0.04274
B2_S06,LB_20251209_PRE_6_EKDL250035522-1A_23_merge_dD_SI.bam,0.5066,2.001,0.03676
B2_S07,LB_20251209_PRE_7_EKDL250035523-1A_23_merge_dD_SI.bam,0.2236,2.004,0.04984
B2_S08,LB_20251209_PRE_8_EKDL250035524-1A_23_merge_dD_SI.bam,0.2838,1.767,0.03199
B2_S09,LB_20251210_PRE_1_EKDL250035525-1A_23_merge_dD_SI.bam,0.01715,2.024,0.04064
B2_S10,LB_20251210_PRE_2_EKDL250035526-1A_237N3GLT4_L8_dD_SI.bam,0.01554,2.147,0.03979
B2_S11,LB_20251210_PRE_3_EKDL250035527-1A_237N3GLT4_L8_dD_SI.bam,0.01569,1.955,0.04176
B2_S12,LB_20251210_PRE_4_EKDL250035528-1A_237N3GLT4_L8_dD_SI.bam,0.07153,2.172,0.04502
B2_S13,LB_20251210_PRE_5_EKDL250035529-1A_23_merge_dD_SI.bam,0.02337,2.375,0.04009
B2_S14,LB_20251210_PRE_6_EKDL250035530-1A_237N3GLT4_L5_dD_SI.bam,0.02511,2.156,0.04279
B2_S15,LB_20251210_PRE_7_EKDL250035531-1A_237N3GLT4_L5_dD_SI.bam,0.2478,2.598,0.0434
B2_S16,LB_20251210_PRE_8_EKDL250035532-1A_237N3GLT4_L5_dD_SI.bam,0.3281,2.065,0.0369
B3_S01,LB_20241212_1_SI.bam,0.03636,2.357,0.04753
B3_S02,LB_20241212_2_SI.bam,0.01195,2.198,0.04374
B3_S03,LB_20241212_3_SI.bam,0.01944,2.438,0.04999
B3_S04,LB_20241212_4_SI.bam,0.04876,2.035,0.05087
B3_S05,LB_20241212_6_SI.bam,0.06386,2.209,0.04029
B3_S06,LB_241114_1_SI.bam,0.6033,2.002,0.03558
B3_S07,LB_241114_2_SI.bam,0.008588,2.543,0.05832
B3_S08,LB_241114_3_SI.bam,0.6228,2.005,0.03511
B3_S09,LB_241114_4_SI.bam,0.3612,2.002,0.03876
B3_S10,LB_241114_5_SI.bam,0.01431,2.408,0.03755
B3_S11,LB_241114_6_SI.bam,0.009693,2.352,0.03643
B3_S12,LB_241114_7_SI.bam,0.0903,2.831,0.03469
B3_S13,LB_241114_8_SI.bam,0.01993,2.327,0.0394
