Sample	Tumor Fraction	Ploidy
B2_S04	0.4552	2.299


B2_S04
Gender:	unknown
Tumor Fraction:	0.4552
Ploidy:	2.299
Subclone Fraction:	0.9807
Fraction Genome Subclonal:	0.1064
Fraction CNA Subclonal:	0.1955
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.32, -0.066, 0.14, 0.31, 0.45, -0.32, 0.14
Student's t precision: 650, 1300, 1100, 960, 630, 9.3, 1200
Gamma Rate Init:	0.015
GC-Map correction MAD:	0.0411


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	0.54	2.299	NA	0.11	0.2	3822
n0.5-p3	0.38	3.308	NA	0.066	0.072	3557
n0.6-p2	0.54	2.298	NA	0.072	0.13	3809
n0.6-p3	0.63	2.927	NA	0.44	0.44	3184
n0.7-p2	0.55	2.3	NA	0.023	0.041	3787
n0.7-p3	0.68	2.538	NA	0.051	0.088	3234
n0.8-p2	0.79	1.626	NA	0.17	0.17	2751
n0.8-p3	0.68	2.538	NA	0.051	0.088	3234
n0.9-p2	0.79	1.626	NA	0.17	0.17	2751
n0.9-p3	0.67	2.489	NA	0.17	0.32	3305
n0.95-p2	0.79	1.626	NA	0.17	0.17	2751
n0.99-p2	0.79	1.626	NA	0.17	0.17	2751
n0.99-p3	0.79	1.626	NA	0.17	0.17	2751
