Sample	Tumor Fraction	Ploidy
B2_S11	0.01569	1.955


B2_S11
Gender:	unknown
Tumor Fraction:	0.01569
Ploidy:	1.955
Subclone Fraction:	0.8223
Fraction Genome Subclonal:	0.1524
Fraction CNA Subclonal:	0.3011
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.0075, 0.00035, 0.0082, 0.016, 0.024, -0.0061, 0.0068
Student's t precision: 1600, 2000, 1900, 1800, 2700, 590, 1200
Gamma Rate Init:	0.00037
GC-Map correction MAD:	0.04176


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	1	1.995	NA	0.02	1	4355
n0.5-p3	0.76	2.995	NA	0.02	0.02	3768
n0.6-p2	1	1.995	NA	0.02	1	4355
n0.6-p3	0.76	2.995	NA	0.02	0.02	3768
n0.7-p2	1	1.995	NA	0.02	1	4355
n0.7-p3	0.76	2.995	NA	0.02	0.02	3768
n0.8-p2	1	2.001	NA	0.031	1	4374
n0.8-p3	0.76	2.995	NA	0.02	0.02	3768
n0.9-p2	0.91	1.986	NA	0.32	0.93	4565
n0.9-p3	0.94	2.921	NA	0.37	0.37	4075
n0.95-p2	0.95	2.005	NA	0.067	0.82	4430
n0.99-p2	0.98	1.955	NA	0.15	0.3	4644
n0.99-p3	0.98	2.595	NA	0.23	0.33	4617
