Sample	Tumor Fraction	Ploidy
B3_S10	0.01431	2.408


B3_S10
Gender:	unknown
Tumor Fraction:	0.01431
Ploidy:	2.408
Subclone Fraction:	0.8649
Fraction Genome Subclonal:	0.1676
Fraction CNA Subclonal:	0.3361
Coverage:	NA
ChrY coverage fraction:	NA
Student's t mean: -0.01, -0.0029, 0.0042, 0.011, 0.018, -0.0091, 0.0033
Student's t precision: 2800, 2500, 2200, 2000, 2900, 1100, 1600
Gamma Rate Init:	3e-04
GC-Map correction MAD:	0.03755


init	n_est	phi_est	BIC	Frac_genome_subclonal	Frac_CNA_subclonal	loglik
n0.5-p2	1	2.001	NA	0	0	4562
n0.5-p3	0.85	2.986	NA	0.048	0.048	4070
n0.6-p2	0.9	2.044	NA	0.19	0.98	4804
n0.6-p3	0.85	2.986	NA	0.048	0.048	4069
n0.7-p2	0.91	2.045	NA	0.19	0.98	4805
n0.7-p3	0.85	2.986	NA	0.048	0.048	4070
n0.8-p2	0.91	2.046	NA	0.19	0.96	4806
n0.8-p3	0.86	2.986	NA	0.048	0.048	4069
n0.9-p2	0.92	2.062	NA	0.25	0.96	4819
n0.9-p3	0.96	3.113	NA	0.041	0.041	4364
n0.95-p2	0.96	2.158	NA	0.14	0.44	4934
n0.99-p2	0.98	2.178	NA	0.17	0.4	5022
n0.99-p3	0.99	2.408	NA	0.17	0.34	5061
