"sample","n_bins","pearson_r"
"B1_S01",2360,0.9246
"B1_S02",2360,0.9258
"B1_S03",2360,0.904
"B1_S04",2360,0.8871
"B1_S05",2360,0.9213
"B2_S01",2360,0.9566
"B2_S02",2360,0.8806
"B2_S03",2360,0.9533
"B2_S04",2360,0.9937
"B2_S05",2360,0.9883
"B2_S06",2360,0.9605
"B2_S07",2360,0.9825
"B2_S08",2360,0.9903
"B2_S09",2360,0.8703
"B2_S10",2360,0.8975
"B2_S11",2360,0.9092
"B2_S12",2360,0.9492
"B2_S13",2360,0.8101
"B2_S14",2360,0.8952
"B2_S15",2360,0.9816
"B2_S16",2360,0.9791
"B3_S01",2360,0.9202
"B3_S02",2360,0.8943
"B3_S03",2360,0.8675
"B3_S04",2360,0.9282
"B3_S05",2360,0.8962
"B3_S06",2360,0.9757
"B3_S07",2360,0.9358
"B3_S08",2360,0.9914
"B3_S09",2360,0.9873
"B3_S10",2360,0.8934
"B3_S11",2360,0.7263
"B3_S12",2360,0.9751
"B3_S13",2360,0.729
