sample_id,bam_path
B3_S01,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_1_SI.bam
B3_S02,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_2_SI.bam
B3_S03,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_3_SI.bam
B3_S04,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_4_SI.bam
B3_S05,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_6_SI.bam
B3_S06,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_1_SI.bam
B3_S07,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_2_SI.bam
B3_S08,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_3_SI.bam
B3_S09,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_4_SI.bam
B3_S10,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_5_SI.bam
B3_S11,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_6_SI.bam
B3_S12,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_7_SI.bam
B3_S13,/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_8_SI.bam
