idx	sample	batch	bam_path
1	B1_S01	Batch1	/scratch/alice/n/nhsas1/PTCL/BAMs/LB20231211_1_EKDL240006162-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam
2	B1_S02	Batch1	/scratch/alice/n/nhsas1/PTCL/BAMs/LB20231211_2_EKDL240006163-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam
3	B1_S03	Batch1	/scratch/alice/n/nhsas1/PTCL/BAMs/LB20231211_3_EKDL240006164-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam
4	B1_S04	Batch1	/scratch/alice/n/nhsas1/PTCL/BAMs/LB20231211_4_EKDL240006165-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam
5	B1_S05	Batch1	/scratch/alice/n/nhsas1/PTCL/BAMs/LB20231211_6_EKDL240006167-1A_227NJFLT4_L7_dD-RG-BQSR_FINAL.bam
6	B2_S01	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251209_PRE_1_EKDL250035517-1A_23_merge_dD_SI.bam
7	B2_S02	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251209_PRE_2_EKDL250035518-1A_237N3GLT4_L2_dD_SI.bam
8	B2_S03	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251209_PRE_3_EKDL250035519-1A_237N3GLT4_L2_dD_SI.bam
9	B2_S04	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251209_PRE_4_EKDL250035520-1A_237N3GLT4_L2_dD_SI.bam
10	B2_S05	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251209_PRE_5_EKDL250035521-1A_237N3GLT4_L1_dD_SI.bam
11	B2_S06	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251209_PRE_6_EKDL250035522-1A_23_merge_dD_SI.bam
12	B2_S07	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251209_PRE_7_EKDL250035523-1A_23_merge_dD_SI.bam
13	B2_S08	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251209_PRE_8_EKDL250035524-1A_23_merge_dD_SI.bam
14	B2_S09	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251210_PRE_1_EKDL250035525-1A_23_merge_dD_SI.bam
15	B2_S10	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251210_PRE_2_EKDL250035526-1A_237N3GLT4_L8_dD_SI.bam
16	B2_S11	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251210_PRE_3_EKDL250035527-1A_237N3GLT4_L8_dD_SI.bam
17	B2_S12	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251210_PRE_4_EKDL250035528-1A_237N3GLT4_L8_dD_SI.bam
18	B2_S13	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251210_PRE_5_EKDL250035529-1A_23_merge_dD_SI.bam
19	B2_S14	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251210_PRE_6_EKDL250035530-1A_237N3GLT4_L5_dD_SI.bam
20	B2_S15	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251210_PRE_7_EKDL250035531-1A_237N3GLT4_L5_dD_SI.bam
21	B2_S16	Batch2	/scratch/alice/n/nhsas1/PTCL/BAMs/LB_20251210_PRE_8_EKDL250035532-1A_237N3GLT4_L5_dD_SI.bam
22	B3_S01	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_1_SI.bam
23	B3_S02	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_2_SI.bam
24	B3_S03	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_3_SI.bam
25	B3_S04	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_4_SI.bam
26	B3_S05	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_20241212_6_SI.bam
27	B3_S06	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_1_SI.bam
28	B3_S07	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_2_SI.bam
29	B3_S08	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_3_SI.bam
30	B3_S09	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_4_SI.bam
31	B3_S10	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_5_SI.bam
32	B3_S11	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_6_SI.bam
33	B3_S12	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_7_SI.bam
34	B3_S13	Batch3	/scratch/alice/n/nhsas1/PTCL/BAMs_batch3/LB_241114_8_SI.bam
