sample,peak_label,peak_type,strength,q_val
B1_S01,1q43,Deletion,Moderate amplitude,0.045183
B1_S02,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B1_S05,1q43,Deletion,Moderate amplitude,0.045183
B1_S05,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B2_S02,1q43,Deletion,Moderate amplitude,0.045183
B2_S02,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B2_S03,1p35.3,Deletion,Moderate amplitude,0.0070355
B2_S03,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B2_S05,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B2_S06,1p35.3,Deletion,Moderate amplitude,0.0070355
B2_S06,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B2_S07,1p35.3,Deletion,Moderate amplitude,0.0070355
B2_S08,1q43,Deletion,Moderate amplitude,0.045183
B2_S08,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B2_S12,1p35.3,Deletion,Moderate amplitude,0.0070355
B2_S12,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B2_S15,1p35.3,Deletion,Moderate amplitude,0.0070355
B2_S15,1q43,Deletion,Moderate amplitude,0.045183
B2_S16,1p35.3,Deletion,Moderate amplitude,0.0070355
B2_S16,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B3_S01,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B3_S04,1q43,Deletion,Moderate amplitude,0.045183
B3_S04,4q35.1,Deletion,Moderate amplitude,3.9035e-8
B3_S05,1q43,Deletion,Moderate amplitude,0.045183
B3_S05,4q35.1,Deletion,Moderate amplitude,3.9035e-8
