"chr","bin_start","p_value","p_adj","overlaps_telomere"
"chr4",5000000,5.24379186489651e-05,0.0280018485585474,FALSE
"chr19",0,0.000350591092459822,0.0936078216867725,TRUE
"chr7",0,0.000574571981905306,0.102273812779144,TRUE
"chr17",0,0.00104746271837122,0.11242027197602,TRUE
"chr19",15000000,0.00113812333933177,0.11242027197602,FALSE
"chr12",120000000,0.00134508178075478,0.11242027197602,FALSE
"chr1",95000000,0.00164383493111632,0.11242027197602,FALSE
"chr19",10000000,0.00168419883110143,0.11242027197602,FALSE
"chr11",65000000,0.00225308975008861,0.120993340455919,FALSE
"chr2",140000000,0.00245174582287453,0.120993340455919,FALSE
"chr11",95000000,0.00271267941946758,0.120993340455919,FALSE
"chr17",35000000,0.00271895147091952,0.120993340455919,FALSE
"chr11",130000000,0.00330426382585475,0.135728991000495,FALSE
"chr8",110000000,0.00567718104554999,0.214192386371354,FALSE
"chr10",95000000,0.00604744073661159,0.214192386371354,FALSE
"chr11",125000000,0.00641774940438514,0.214192386371354,FALSE
"chr18",65000000,0.00703907971395102,0.221109915720579,FALSE
"chr3",100000000,0.00746418648052163,0.221255690438471,FALSE
"chr12",70000000,0.00792149945134991,0.221255690438471,FALSE
"chr10",25000000,0.00828672997896896,0.221255690438471,FALSE
"chr5",180000000,0.00965968419497441,0.236197868143425,TRUE
"chr21",15000000,0.0106827311167718,0.236197868143425,FALSE
"chr2",125000000,0.010856795358375,0.236197868143425,FALSE
"chr17",30000000,0.011099599941597,0.236197868143425,FALSE
"chr17",60000000,0.011725072996359,0.236197868143425,FALSE
"chr9",115000000,0.012064084329996,0.236197868143425,FALSE
"chr16",5000000,0.0123296280043968,0.236197868143425,FALSE
"chr6",90000000,0.0132196566069028,0.236197868143425,FALSE
"chr12",5000000,0.0134318840226153,0.236197868143425,FALSE
"chr5",155000000,0.0134943060886043,0.236197868143425,FALSE
"chr17",45000000,0.0137118612592625,0.236197868143425,FALSE
"chr1",5000000,0.0149440090708918,0.242203692200825,FALSE
"chr10",70000000,0.0150134584436524,0.242203692200825,FALSE
"chr1",25000000,0.0154212088667192,0.242203692200825,FALSE
"chr10",45000000,0.0164850436093446,0.251514665354,FALSE
"chr17",70000000,0.017539451221712,0.260168526455394,FALSE
"chr11",120000000,0.0180896410997745,0.261077522899448,FALSE
"chr6",85000000,0.0191071905775204,0.26435084725231,FALSE
"chr17",15000000,0.019606687224702,0.26435084725231,FALSE
"chr11",80000000,0.0198015615919333,0.26435084725231,FALSE
"chr12",125000000,0.0209014003533392,0.267858269039129,FALSE
"chr2",130000000,0.0210675043064483,0.267858269039129,FALSE
"chr7",75000000,0.0224910128564037,0.275198491389881,FALSE
"chr4",75000000,0.0228403212057876,0.275198491389881,FALSE
"chr3",185000000,0.0231908841058889,0.275198491389881,FALSE
"chr18",40000000,0.0249190091711151,0.289277193421206,FALSE
"chr4",15000000,0.0255525020691468,0.290319917126051,FALSE
"chr6",105000000,0.0268883973640519,0.299133420675077,FALSE
"chr11",110000000,0.0282342404004212,0.302682529047116,FALSE
"chr6",125000000,0.0283410607722019,0.302682529047116,FALSE
"chr18",75000000,0.0313578866665361,0.313141167798722,FALSE
"chr8",85000000,0.0313834374305926,0.313141167798722,FALSE
"chr18",45000000,0.032240326717473,0.313141167798722,FALSE
"chr10",125000000,0.0323359558607657,0.313141167798722,FALSE
"chr6",60000000,0.0327702715037438,0.313141167798722,FALSE
"chr16",0,0.0331608089179965,0.313141167798722,TRUE
"chr8",135000000,0.0343702623825244,0.313141167798722,FALSE
"chr19",40000000,0.0344537392996146,0.313141167798722,FALSE
"chr14",105000000,0.0345979941949898,0.313141167798722,TRUE
"chr5",60000000,0.0367050459586443,0.323018933041424,FALSE
"chr19",55000000,0.0368991665084773,0.323018933041424,TRUE
"chr12",60000000,0.0377306424614665,0.324970372168115,FALSE
"chr18",30000000,0.0398985596181887,0.32753593383831,FALSE
"chr4",0,0.0402709728494489,0.32753593383831,TRUE
"chr12",130000000,0.0402709728494489,0.32753593383831,TRUE
"chr5",0,0.0407486004828897,0.32753593383831,TRUE
"chr10",110000000,0.0414932367880285,0.32753593383831,FALSE
"chr1",185000000,0.0426930964842945,0.32753593383831,FALSE
"chr17",75000000,0.0427562155803339,0.32753593383831,FALSE
"chr4",40000000,0.0436643676639483,0.32753593383831,FALSE
"chr20",60000000,0.0436643676639483,0.32753593383831,TRUE
"chr1",10000000,0.044478436573566,0.32753593383831,FALSE
"chr13",90000000,0.0447755115546754,0.32753593383831,FALSE
"chr20",55000000,0.0479970213671095,0.342931340892146,FALSE
"chr12",25000000,0.0481645141702453,0.342931340892146,FALSE
"chr9",70000000,0.0493950512890959,0.343508055482733,FALSE
"chr4",65000000,0.0503942597445488,0.343508055482733,FALSE
"chr22",45000000,0.051866869636968,0.343508055482733,FALSE
"chr10",130000000,0.0519281695148662,0.343508055482733,TRUE
"chr16",15000000,0.0519501452995384,0.343508055482733,FALSE
"chr13",75000000,0.0525405356184391,0.343508055482733,FALSE
"chr2",60000000,0.0527484279954758,0.343508055482733,FALSE
"chr8",95000000,0.0534740654625136,0.344037963337136,FALSE
"chr15",45000000,0.0563084129669917,0.344811639601651,FALSE
"chr13",45000000,0.0568295873875292,0.344811639601651,FALSE
"chr12",85000000,0.0579667196989084,0.344811639601651,FALSE
"chr10",120000000,0.0587519196908933,0.344811639601651,FALSE
"chr1",205000000,0.058806633428536,0.344811639601651,FALSE
"chr2",110000000,0.0590903421804927,0.344811639601651,FALSE
"chr9",60000000,0.0598458005323373,0.344811639601651,FALSE
"chr20",15000000,0.0598728158393281,0.344811639601651,FALSE
"chr8",0,0.0599302638651531,0.344811639601651,TRUE
"chr1",150000000,0.060051465323883,0.344811639601651,FALSE
"chr8",100000000,0.06111500003176,0.346172786419589,FALSE
"chr13",50000000,0.0615850462731478,0.346172786419589,FALSE
"chr4",20000000,0.0625902774484751,0.346322716040212,FALSE
"chr15",90000000,0.0638555104601339,0.346322716040212,FALSE
"chr2",10000000,0.0641316862001003,0.346322716040212,FALSE
"chr1",15000000,0.0642058967939718,0.346322716040212,FALSE
"chr3",180000000,0.0651591839471984,0.347950042278039,FALSE
"chr2",0,0.0681720813584494,0.358406880257056,TRUE
"chr18",55000000,0.0692045054589721,0.358406880257056,FALSE
"chr10",0,0.0697623461267232,0.358406880257056,TRUE
"chr11",85000000,0.0701787883981866,0.358406880257056,FALSE
"chr10",100000000,0.0706664518166171,0.358406880257056,FALSE
"chr16",90000000,0.0718054830063072,0.358406880257056,TRUE
"chr12",15000000,0.0718156108380244,0.358406880257056,FALSE
"chr10",55000000,0.0735478976075241,0.360369314840349,FALSE
"chr5",165000000,0.0735585305572998,0.360369314840349,FALSE
"chr1",0,0.0769975327035796,0.373788022397377,TRUE
"chr3",125000000,0.0794240464377325,0.382094061240983,FALSE
"chr12",45000000,0.0822790441127902,0.382302995536306,FALSE
"chr20",0,0.0827226481106581,0.382302995536306,TRUE
"chr11",90000000,0.0829212220856976,0.382302995536306,FALSE
"chr14",95000000,0.0838006258751976,0.382302995536306,FALSE
"chr8",15000000,0.0850109654961739,0.382302995536306,FALSE
"chr10",80000000,0.0857866101991826,0.382302995536306,FALSE
"chr11",60000000,0.0868264143429106,0.382302995536306,FALSE
"chr3",30000000,0.0880186755972539,0.382302995536306,FALSE
"chr10",50000000,0.0881503597785213,0.382302995536306,FALSE
"chr14",55000000,0.0892562568298235,0.382302995536306,FALSE
"chr1",160000000,0.0894932308016437,0.382302995536306,FALSE
"chr3",5000000,0.0900131723817711,0.382302995536306,FALSE
"chr13",80000000,0.0900350740018084,0.382302995536306,FALSE
"chr17",40000000,0.0907643450141828,0.382302995536306,FALSE
"chr18",25000000,0.0915366314793127,0.382302995536306,FALSE
"chr5",130000000,0.0920041920062489,0.382302995536306,FALSE
"chr21",30000000,0.0921532104512378,0.382302995536306,FALSE
"chr5",5000000,0.0929012758430175,0.382302995536306,FALSE
"chr3",155000000,0.0935280361861051,0.382302995536306,FALSE
"chr14",100000000,0.0937859408525396,0.382302995536306,FALSE
"chr6",100000000,0.0972764808144571,0.391030328797074,FALSE
"chr7",130000000,0.0973914489326045,0.391030328797074,FALSE
"chr5",40000000,0.100524793098561,0.394093740181175,FALSE
"chr12",0,0.101380485731086,0.394093740181175,TRUE
"chr6",75000000,0.101497799129483,0.394093740181175,FALSE
"chr5",85000000,0.101686571767411,0.394093740181175,FALSE
"chr7",85000000,0.101844449709742,0.394093740181175,FALSE
"chr12",40000000,0.106192082087936,0.407960948452933,FALSE
"chr14",20000000,0.107694302238764,0.410776838539284,FALSE
"chr21",20000000,0.109875940713371,0.411023523196941,FALSE
"chr12",80000000,0.110223997621374,0.411023523196941,FALSE
"chr9",30000000,0.110641014981787,0.411023523196941,FALSE
"chr2",225000000,0.110837804008164,0.411023523196941,FALSE
"chr3",40000000,0.113575812297206,0.418272301839366,FALSE
"chr4",70000000,0.116012320501706,0.424319035259665,FALSE
"chr2",145000000,0.118598072604219,0.428425114014965,FALSE
"chr20",20000000,0.119120670232653,0.428425114014965,FALSE
"chr9",125000000,0.119541838929269,0.428425114014965,FALSE
"chr7",150000000,0.124041251638133,0.433118550949111,FALSE
"chr7",80000000,0.124567189849445,0.433118550949111,FALSE
"chr2",175000000,0.124588273698929,0.433118550949111,FALSE
"chr6",110000000,0.125396088957389,0.433118550949111,FALSE
"chr1",200000000,0.125668295343669,0.433118550949111,FALSE
"chr3",60000000,0.125717931455266,0.433118550949111,FALSE
"chr6",120000000,0.129829888623897,0.44362082517353,FALSE
"chr9",15000000,0.130446585326677,0.44362082517353,FALSE
"chr5",160000000,0.131258596212393,0.44362082517353,FALSE
"chr8",5000000,0.132346501300915,0.444484476067225,FALSE
"chr19",35000000,0.133408610304289,0.445251236890563,FALSE
