"chr","bin_start","p_value","p_adj"
"chr4",5000000,0.000108439033919954,0.0498523853374244
"chr19",15000000,0.000186713053698219,0.0498523853374244
"chr19",0,0.000372878657150084,0.0521170515489844
"chr19",10000000,0.000390389899243329,0.0521170515489844
"chr7",0,0.000618954741198348,0.0661043663599836
"chr17",0,0.0014741298854088,0.102113557138045
"chr12",120000000,0.00153731909660555,0.102113557138045
"chr2",140000000,0.00154231397221043,0.102113557138045
"chr1",95000000,0.00172101500794457,0.102113557138045
"chr11",130000000,0.0021924644775074,0.117077603098895
"chr12",5000000,0.00251428704003415,0.122057207216203
"chr11",125000000,0.00278026861056171,0.123721953169996
"chr11",95000000,0.00382174015868565,0.156985326518318
"chr1",5000000,0.00447421351761827,0.170659287029154
"chr12",125000000,0.0050560046438789,0.179993765322089
"chr10",95000000,0.00616544640956269,0.205771773919155
"chr10",25000000,0.0066242956875796,0.208080817480441
"chr19",40000000,0.0095739320181447,0.227435896261785
"chr11",120000000,0.00972598504416367,0.227435896261785
"chr5",0,0.0103516860958882,0.227435896261785
"chr8",135000000,0.0104393605782087,0.227435896261785
"chr2",60000000,0.0105673472100519,0.227435896261785
"chr19",55000000,0.0106556459256933,0.227435896261785
"chr7",75000000,0.0110878653720957,0.227435896261785
"chr18",65000000,0.0117316894655858,0.227435896261785
"chr1",185000000,0.0119152808710238,0.227435896261785
"chr17",35000000,0.0119979094185348,0.227435896261785
"chr3",100000000,0.012578377775132,0.227435896261785
"chr18",40000000,0.0134490864512747,0.227435896261785
"chr11",80000000,0.0134756678537174,0.227435896261785
"chr1",0,0.0144024958589155,0.227435896261785
"chr12",70000000,0.0148617749515339,0.227435896261785
"chr17",30000000,0.015320621278195,0.227435896261785
"chr1",150000000,0.0154247435442145,0.227435896261785
"chr8",5000000,0.0159288036854086,0.227435896261785
"chr2",85000000,0.0161177247933307,0.227435896261785
"chr17",15000000,0.0167492208595817,0.227435896261785
"chr1",25000000,0.0168993601202077,0.227435896261785
"chr5",180000000,0.0178693509181206,0.227435896261785
"chr9",115000000,0.0180606435514607,0.227435896261785
"chr18",45000000,0.0180896410997745,0.227435896261785
"chr21",15000000,0.018411703428816,0.227435896261785
"chr16",5000000,0.0190103569385525,0.227435896261785
"chr10",70000000,0.0193413766686277,0.227435896261785
"chr18",30000000,0.0198991976867908,0.227435896261785
"chr6",90000000,0.0199526628940069,0.227435896261785
"chr11",65000000,0.0201176101096891,0.227435896261785
"chr5",155000000,0.0204436760684751,0.227435896261785
"chr22",45000000,0.0211061661784153,0.2300141375362
"chr17",70000000,0.0226191298768204,0.238846300571514
"chr2",125000000,0.0230644074441959,0.238846300571514
"chr11",110000000,0.0232584412541549,0.238846300571514
"chr12",130000000,0.0240585015330669,0.242400751295429
"chr8",110000000,0.0252587810696747,0.249781279466783
"chr4",0,0.0263176509599308,0.255520465683692
"chr4",40000000,0.0278486498284372,0.256006141790812
"chr17",45000000,0.0279249505045698,0.256006141790812
"chr19",45000000,0.0283879654685241,0.256006141790812
"chr20",60000000,0.0293085152697238,0.256006141790812
"chr6",105000000,0.0302873088843773,0.256006141790812
"chr12",45000000,0.0303762882755302,0.256006141790812
"chr8",85000000,0.0305088492899505,0.256006141790812
"chr15",90000000,0.0311836807179428,0.256006141790812
"chr2",0,0.0312720957529146,0.256006141790812
"chr18",75000000,0.0312800356132325,0.256006141790812
"chr20",15000000,0.0316412085359431,0.256006141790812
"chr6",85000000,0.0331327596927798,0.264073039939469
"chr4",15000000,0.035124931655557,0.268097639151591
"chr15",45000000,0.035124931655557,0.268097639151591
"chr6",60000000,0.0351438852820437,0.268097639151591
"chr3",180000000,0.0362952840565072,0.269764861960573
"chr14",20000000,0.0363727903767065,0.269764861960573
"chr1",155000000,0.0378464262447261,0.271327020691306
"chr5",60000000,0.0379506544029934,0.271327020691306
"chr3",60000000,0.0382618263922229,0.271327020691306
"chr2",95000000,0.0386158306601859,0.271327020691306
"chr10",100000000,0.0402347814538487,0.278041252636975
"chr10",110000000,0.0406127672391088,0.278041252636975
"chr12",60000000,0.0415560471588698,0.280420083896956
"chr13",75000000,0.0421931230812156,0.280420083896956
"chr9",70000000,0.0426046759538329,0.280420083896956
"chr8",0,0.0430607619467236,0.280420083896956
"chr4",75000000,0.0441409793018813,0.283991360809694
"chr1",205000000,0.0453423617597449,0.287550042391946
"chr1",160000000,0.0457710741635119,0.287550042391946
"chr17",60000000,0.0486277963875145,0.30014570289716
"chr6",125000000,0.0489001426068406,0.30014570289716
"chr5",140000000,0.0515816377121465,0.302715791061337
"chr18",25000000,0.0515816377121465,0.302715791061337
"chr5",165000000,0.05225528378988,0.302715791061337
"chr5",130000000,0.0525175693996906,0.302715791061337
"chr2",10000000,0.0525405356184391,0.302715791061337
"chr1",10000000,0.052720165858997,0.302715791061337
"chr13",90000000,0.0536109343275978,0.304094055265558
"chr13",80000000,0.0540991296820749,0.304094055265558
"chr2",200000000,0.0557489539091721,0.309776740282892
"chr12",25000000,0.0562703067555066,0.309776740282892
"chr19",50000000,0.0574312692777419,0.311778580686915
"chr14",105000000,0.0586773920775168,0.311778580686915
"chr11",90000000,0.0588431375579878,0.311778580686915
"chr16",90000000,0.0590903421804927,0.311778580686915
"chr16",0,0.059839048610432,0.311778580686915
"chr2",230000000,0.0601370670613338,0.311778580686915
"chr13",45000000,0.0611764439853576,0.312366431378371
"chr4",65000000,0.0622030724341384,0.312366431378371
"chr16",15000000,0.0625638007090592,0.312366431378371
"chr19",35000000,0.0625902774484751,0.312366431378371
"chr4",20000000,0.065027902895721,0.32152685320662
"chr20",20000000,0.06715766406977,0.322303819511965
"chr10",0,0.0674148358609365,0.322303819511965
"chr15",50000000,0.0674184014104912,0.322303819511965
"chr3",185000000,0.0675993029688016,0.322303819511965
"chr13",50000000,0.0718156108380244,0.339376426438098
"chr15",20000000,0.0741331687465574,0.346922475874188
"chr5",5000000,0.0747117691489356,0.346922475874188
"chr1",200000000,0.0760070672110852,0.347488989044815
"chr5",85000000,0.0770235996282366,0.347488989044815
"chr4",70000000,0.0771401940718298,0.347488989044815
"chr7",130000000,0.0774366848245937,0.347488989044815
"chr17",75000000,0.0803932503416623,0.357749964020397
"chr3",195000000,0.0833371357914486,0.367785376137467
"chr10",55000000,0.0856246373461434,0.374783248711808
"chr8",15000000,0.0883831510864847,0.383712216912055
"chr15",40000000,0.0891468058255077,0.383906405732428
"chr3",120000000,0.0907643450141828,0.387745281900589
"chr12",40000000,0.0928629593091904,0.393094647295931
"chr11",85000000,0.0934888018849873,0.393094647295931
"chr12",90000000,0.0954755359462075,0.398312001525584
"chr4",190000000,0.0974244200613196,0.398417301085245
"chr3",150000000,0.0995667315813246,0.398417301085245
"chr3",40000000,0.0998729756580919,0.398417301085245
"chr6",75000000,0.0998729756580919,0.398417301085245
"chr9",15000000,0.100524793098561,0.398417301085245
"chr18",55000000,0.100524793098561,0.398417301085245
"chr2",145000000,0.100723474993461,0.398417301085245
"chr8",95000000,0.103087247611378,0.402758233214326
"chr18",50000000,0.103626594957144,0.402758233214326
"chr6",100000000,0.104083588358758,0.402758233214326
"chr10",120000000,0.105428029484155,0.405025667226897
"chr12",85000000,0.106360330333651,0.405688688558356
"chr2",135000000,0.10789383871702,0.408619218970843
"chr3",5000000,0.111011847155337,0.412966724989287
"chr7",85000000,0.111443239801944,0.412966724989287
"chr3",155000000,0.111843178848917,0.412966724989287
"chr20",55000000,0.113056411623877,0.412966724989287
"chr1",170000000,0.113575812297206,0.412966724989287
"chr17",40000000,0.114766962574134,0.412966724989287
"chr8",115000000,0.116059370353177,0.412966724989287
"chr2",175000000,0.116088837364165,0.412966724989287
