Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold	B1_S01	B1_S02	B1_S05	B2_S01	B2_S02	B2_S03	B2_S04	B2_S05	B2_S06	B2_S07	B2_S08	B2_S12	B2_S15	B2_S16	B3_S01	B3_S04	B3_S05	B3_S06	B3_S08	B3_S09	B3_S12	
Amplification Peak 1	1q32.1 	chr1:155990001-211010000(probes 12222:17732)    	chr1:201000001-210000000(probes 16730:17630)    	chr1:201000001-210030000(probes 16730:17633)    	0.21221	 0.21221		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	2	2	0	0	2	2	2	2	0	2	0	2	0	2	0	2	2	0	0	0	2	
Amplification Peak 2	8q24.3 	chr8:124990001-145138636(probes 140758:142761)  	chr8:141000001-145138636(probes 142361:142761)  	chr8:141000001-145138636(probes 142361:142761)  	0.16183	 0.16183		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	2	0	0	2	0	2	2	0	0	2	0	2	0	2	2	0	0	0	0	0	1	
Amplification Peak 3	11q24.3	chr11:111990001-135086622(probes 176303:178606)	chr11:125000001-135086622(probes 177606:178606)	chr11:125000001-135086622(probes 177606:178606)	0.16183	 0.16183		0: t<0.3; 1: 0.3<t< 0.9; 2: t>0.9	2	2	2	2	0	2	2	0	0	2	0	0	0	2	2	2	2	0	0	0	0	
Deletion Peak 1	1q21.3 	chr1:18950001-248956422(probes 1499:21435)   	chr1:26980001-248956422(probes 2304:21435)   	chr1:23000001-36030000(probes 1905:3210)      	0.012714	   0.012714		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Deletion Peak 2	2q37.3 	chr2:232850001-242193529(probes 43438:44054)	chr2:237950001-242193529(probes 43849:44054)	chr2:237980001-240000000(probes 43852:43853)	0.16058	    0.16058		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	
Deletion Peak 3	4q35.1 	chr4:174970001-190214555(probes 79886:81291)	chr4:181050002-190214555(probes 80497:81291)	chr4:150000001-190214555(probes 77385:81291)	4.7085e-07	 4.7085e-07		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	1	
Deletion Peak 4	7q11.22	chr7:51310001-80140000(probes 119467:120954)  	chr7:71120002-78010000(probes 120652:120740)  	chr7:56000001-78030000(probes 119937:120742)  	0.048379	   0.048379		0: t>-0.3; 1: -0.3>t> -1.3; 2: t< -1.3	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	
Amplification Peak 1 - CN values	1q32.1 	chr1:155990001-211010000(probes 12222:17732)    	chr1:201000001-210000000(probes 16730:17630)    	chr1:201000001-210030000(probes 16730:17633)    	0.21221	 0.21221		Actual Copy Change Given	1.0001	1.0001	0	0	1.0001	2	2	1.0001	0	2	-1	2.9999	0	1.0001	0	2.9999	1.0001	0	0	0	1.3332	
Amplification Peak 2 - CN values	8q24.3 	chr8:124990001-145138636(probes 140758:142761)  	chr8:141000001-145138636(probes 142361:142761)  	chr8:141000001-145138636(probes 142361:142761)  	0.16183	 0.16183		Actual Copy Change Given	2	0	0	1.0001	0	1.0001	2	0	0	1.0001	0	2.9999	0	1.0001	1.0001	0	0	0	0	0	0.6666	
Amplification Peak 3 - CN values	11q24.3	chr11:111990001-135086622(probes 176303:178606)	chr11:125000001-135086622(probes 177606:178606)	chr11:125000001-135086622(probes 177606:178606)	0.16183	 0.16183		Actual Copy Change Given	1.0001	1.0001	1.0001	1.0001	0	2.9999	1.0001	0	0	2	0	-1	0	1.0001	2	1.0001	1.0001	0	0	0	0	
Deletion Peak 1 - CN values	1q21.3 	chr1:18950001-248956422(probes 1499:21435)   	chr1:26980001-248956422(probes 2304:21435)   	chr1:23000001-36030000(probes 1905:3210)      	0.012714	   0.012714		Actual Copy Change Given	1.0001	1.0001	0	0	1.0001	0	2	0	0	2	-1	0	0	0	0	0	1.0001	0	0	0	0.6666	
Deletion Peak 2 - CN values	2q37.3 	chr2:232850001-242193529(probes 43438:44054)	chr2:237950001-242193529(probes 43849:44054)	chr2:237980001-240000000(probes 43852:43853)	0.16058	    0.16058		Actual Copy Change Given	0	1.0001	-1	0	0	0	0	0	0	0	-1	0	-0.6667	-1	0	0	0	0	-1	-1	-0.6667	
Deletion Peak 3 - CN values	4q35.1 	chr4:174970001-190214555(probes 79886:81291)	chr4:181050002-190214555(probes 80497:81291)	chr4:150000001-190214555(probes 77385:81291)	4.7085e-07	 4.7085e-07		Actual Copy Change Given	0	-1	-1	1.0001	-1	-1	0	-1	-1	0	-1	-1	1.3332	-1	-1	-1	-1	0	0	0	-1.2929	
Deletion Peak 4 - CN values	7q11.22	chr7:51310001-80140000(probes 119467:120954)  	chr7:71120002-78010000(probes 120652:120740)  	chr7:56000001-78030000(probes 119937:120742)  	0.048379	   0.048379		Actual Copy Change Given	0	0	0	-1	0	0	0	0	0	0	1.0001	1.0001	-1.2929	-1	2.9999	0	0	0	-1	0	0.6666	
